,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
DE0 25,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,151.78,121.95,100.79,91.87,,,,,53.62,52.52,94.45,,,,,89.02,,,,,60.4,73.82,,,68.2,60.4,92.08,2.71,0.0,5.93,0.26,8.9,4.09,0.16,0.0,0.03,4.09,0.04,0.0,1.62,0.32,0.44,0.2,0.0,0.0,0.0,0.0,0.49,5.57,0.48,0.0,0.29,9.29,0.0,0.16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30.47,59.01,0.0
DE0 26,,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,150.62,120.79,100.19,90.26,,,,,51.84,51.04,92.88,,,,,87.45,52.86,,,,,63.78,,,72.25,64.89,91.03,4.28,0.0,48.01,10.4,62.69,28.36,1.44,0.0,0.23,28.36,2.17,0.0,8.83,0.02,5.02,0.19,0.0,0.0,7.44,0.0,3.16,0.0,0.02,0.0,2.61,64.45,0.0,6.52,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
DE0 27,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,151.37,121.54,100.07,90.92,,,,,52.69,51.68,93.53,,,,,88.09,,,,68.11,60.81,71.06,,,68.11,60.81,91.71,10.8,0.0,11.14,3.52,25.46,8.14,0.32,0.0,0.06,8.14,0.3,0.0,2.63,0.36,1.27,0.23,0.0,0.0,0.0,0.0,0.97,8.02,1.51,0.0,0.62,18.5,0.0,1.1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27.65,92.9,0.0
DE0 3,0.7,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.58,,109.62,79.79,87.65,79.99,,,,,39.38,38.76,82.71,,,,,77.28,43.93,55.48,58.07,,,47.51,57.46,62.61,66.88,62.04,,0.85,0.0,-53.43,0.26,-52.31,4.0,4.74,0.0,0.03,4.0,0.01,0.0,1.3,0.34,1.06,0.0,0.75,7.9,16.68,0.53,0.75,0.01,0.0,0.0,221.22,9.08,0.0,0.01,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,0.02,0.04,0.0
DE0 4,,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,148.17,118.34,96.95,87.76,,,,,51.68,50.68,90.41,,,,,84.98,58.16,,,,,58.16,,,71.11,64.42,89.15,11.91,0.0,20.86,5.93,38.69,18.65,1.26,0.0,0.15,18.65,1.0,0.0,6.58,0.54,3.14,0.27,0.02,0.0,14.84,0.0,2.81,0.0,0.0,0.0,2.45,42.39,0.0,4.61,,,,,52.1,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0
DE0 5,,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,,,150.78,120.95,99.66,90.36,,,,,51.97,51.03,92.88,,,,,87.45,,,,67.17,60.33,68.72,,,68.62,60.33,91.86,6.11,0.0,22.88,7.9,36.89,24.38,1.1,0.0,0.19,24.38,1.77,0.0,6.96,0.03,5.35,0.0,0.0,0.0,0.0,0.0,2.36,30.59,4.87,0.0,1.86,55.41,0.0,7.14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,96.23,100.0,0.0
DE0 6,,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,151.77,121.94,100.27,91.86,,,,,53.02,51.95,94.35,,,,,88.92,,,,64.46,57.42,76.44,,,65.43,57.42,91.85,21.0,0.0,10.05,8.26,39.31,8.36,0.43,0.0,0.07,8.36,0.12,0.0,3.21,0.6,0.85,0.79,0.0,0.0,0.0,0.0,1.02,9.03,1.67,0.0,0.58,19.0,0.0,0.56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20.49,100.0,0.0
DE0 7,,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,150.62,120.79,99.84,90.2,,,,,51.33,50.27,92.81,,,,,87.38,51.87,,,69.11,61.22,62.64,,,69.35,61.61,90.89,10.35,0.0,77.19,20.83,108.38,38.96,4.31,0.0,0.31,38.96,2.92,0.0,16.4,0.21,7.36,0.03,0.0,0.0,11.65,0.0,4.41,45.25,7.78,0.0,3.65,88.55,0.0,9.77,,,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
DE0 8,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,149.96,120.13,99.04,89.73,,,,,52.18,51.16,92.39,,,,,86.96,,,,,61.68,66.4,,,70.14,61.68,90.82,1.63,0.0,28.72,1.58,31.93,7.63,0.65,0.0,0.06,7.63,0.31,0.0,3.82,0.32,1.19,0.01,0.0,0.0,0.0,0.0,1.25,2.31,0.0,0.0,0.74,17.34,0.0,1.27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.05,0.0
DE0 9,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,151.87,122.03,100.79,91.66,,,,,53.28,52.18,94.18,,,,,88.75,,,,65.48,58.06,75.73,,,67.34,58.06,91.6,1.87,0.0,31.31,4.32,37.5,22.86,0.99,0.0,0.18,22.86,1.13,0.0,6.45,0.49,6.87,0.73,0.0,0.0,0.0,0.0,2.44,10.36,4.56,0.0,1.28,51.96,0.0,4.69,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.5,100.0,0.0
DK0 0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9,,113.98,84.15,80.66,72.17,,,,,40.93,40.18,74.85,,,,,69.42,31.04,,50.52,,,45.9,53.61,50.52,64.78,59.91,,-78.98,0.0,-180.74,-16.8,-276.53,13.41,60.29,0.0,0.6,13.41,0.68,0.0,6.18,0.3,22.32,0.0,9.21,50.2,60.58,14.42,2.26,0.0,0.0,0.0,3544.8,30.47,0.0,4.72,,0.0,78.16,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
DK3 0,0.0,1.87,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0.0,,117.25,87.42,84.23,75.44,,,,,44.41,43.67,78.11,,,,,72.68,30.63,,,,56.95,53.49,57.62,58.61,65.29,58.69,,-30.48,0.0,35.81,-0.21,5.11,7.16,22.42,0.0,0.32,7.16,0.42,0.0,3.62,0.1,8.58,0.0,0.01,0.01,11.59,5.78,1.81,29.09,0.07,0.0,1566.26,16.27,0.0,1.79,,0.0,0.1,,100.0,0.0,0.0,,0.0,0.0,100.0,5.36,0.0
EE6 0,0.0,4.51,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0.0,,132.37,102.54,82.12,74.49,,,,,48.97,48.13,77.2,,,,,71.76,45.28,,,,60.46,45.28,55.68,58.21,69.07,60.46,,-2.51,0.0,-39.05,-10.19,-51.75,5.37,10.23,0.0,0.2,5.37,0.29,0.0,2.59,0.23,2.01,0.0,5.83,0.0,32.81,0.67,2.02,2.94,0.0,0.0,11.34,12.2,0.0,5.21,,0.0,0.0,,35.03,0.0,0.0,,0.0,0.0,4.74,0.07,0.0
ES0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.11,,,,119.41,89.58,72.36,69.74,,,,,33.89,33.24,71.44,,,,,66.0,,,,40.48,36.17,70.41,69.48,,52.65,36.17,,-1.27,0.0,-5.26,-1.45,-7.98,17.45,7.25,0.0,0.83,17.45,0.83,0.33,4.18,0.09,4.2,0.25,0.04,0.0,0.0,0.62,2.48,37.73,3.52,2.59,20.0,39.66,0.96,7.36,,0.0,,,0.0,0.0,0.0,,0.0,0.0,53.03,100.0,0.0
ES0 1,,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.02,,,,122.46,92.63,74.33,70.62,,,,,39.13,38.3,72.41,,,,,66.98,,,,42.07,37.74,67.92,,,53.92,37.74,,8.96,0.0,28.03,-3.48,33.51,40.64,14.04,0.0,1.94,40.64,1.61,0.01,9.2,0.4,7.54,0.57,0.0,0.0,0.0,1.14,3.72,52.99,8.19,4.55,40.6,92.35,0.03,11.78,,,,,0.0,0.0,0.0,,0.0,0.0,26.69,100.0,0.0
ES0 10,,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,,,,122.64,92.81,73.86,70.3,,,,,28.6,28.52,72.14,,,,,66.7,,,,,38.99,65.04,,,54.39,39.33,,1.69,0.0,-51.38,-1.69,-51.38,2.84,0.93,0.0,0.14,2.84,0.0,0.01,1.03,0.11,0.21,3.51,0.0,0.0,0.0,0.02,0.25,45.55,0.57,0.0,2.6,6.45,0.03,0.01,,,,,0.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
ES0 11,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.13,,,,119.07,89.23,72.6,69.71,,,,,36.09,35.38,71.39,,,,,65.96,,,,40.25,36.2,68.85,73.0,,53.02,36.2,,1.11,0.0,-27.52,2.3,-24.11,19.83,8.07,0.0,0.95,19.83,0.91,31.09,4.75,0.13,4.2,0.87,0.08,0.0,0.0,0.89,2.11,60.98,4.0,2.28,24.26,45.07,90.45,6.45,,0.01,,,0.0,0.0,0.0,,0.0,0.0,43.72,100.0,0.0
ES0 12,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,,,,126.21,96.38,76.73,72.38,,,,,41.09,40.14,74.24,,,,,68.8,,,,45.89,42.23,65.13,64.11,,56.24,42.23,,2.25,0.0,-0.96,-2.57,-1.28,7.05,2.54,0.0,0.34,7.05,0.29,0.01,2.78,0.07,1.74,0.2,0.0,0.0,0.0,0.2,0.72,23.33,1.42,0.74,7.37,16.01,0.02,2.18,,0.02,,,0.0,0.0,0.0,,0.0,0.0,40.5,100.0,0.0
ES0 2,0.0,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,115.63,85.79,69.18,65.44,,,,,35.02,34.34,67.53,,,,,62.09,46.02,,,52.19,,46.02,55.59,,53.17,46.47,,-14.02,0.0,-71.33,-12.68,-98.03,14.37,20.32,0.0,0.69,14.37,0.19,0.0,4.68,0.17,5.37,3.66,6.78,0.0,72.0,3.74,1.3,0.0,2.9,0.0,54.34,32.66,0.01,1.69,,0.01,,,93.87,0.0,0.0,,0.0,0.0,0.0,100.0,0.0
ES0 3,0.0,2.38,0.0,0.0,0.0,0.0,0.07,0.0,0.06,,,,119.21,89.38,73.8,70.02,,,,,38.22,37.39,71.77,,,,,66.34,56.27,,,42.36,37.51,56.27,61.47,,52.94,37.51,,2.56,0.0,-88.59,-0.82,-86.85,8.11,4.34,0.0,0.39,8.11,0.2,3.13,3.06,0.16,1.17,1.19,0.66,0.0,33.59,0.49,0.94,42.21,1.63,0.44,11.4,18.43,9.1,1.44,,0.02,,,40.97,0.0,0.0,,0.0,0.0,44.92,100.0,0.0
ES0 4,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,,,,124.57,94.74,74.98,70.73,,,,,41.01,40.1,72.62,,,,,67.19,,,,44.52,40.34,64.03,62.9,,55.64,40.34,,6.51,0.0,19.5,0.39,26.41,8.54,4.08,0.0,0.41,8.54,0.22,0.0,4.07,0.17,1.14,0.36,0.0,0.0,0.0,0.28,0.72,17.93,1.72,0.01,12.14,19.42,0.01,1.21,,0.0,,,0.0,0.0,0.0,,0.0,0.0,18.85,100.0,0.0
ES0 5,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,,,,114.95,85.12,74.03,70.24,,,,,33.47,33.13,72.0,,,,,66.57,,,,39.49,35.05,67.48,69.75,,54.12,38.44,,-15.75,0.0,3.24,-0.0,-12.52,13.06,32.16,0.0,0.62,13.06,0.27,0.02,2.5,0.06,8.07,0.0,0.33,0.0,0.0,5.69,1.42,67.57,2.63,0.0,388.38,29.68,0.04,1.5,,0.01,,,0.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
ES0 6,,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,,,,122.28,92.45,73.83,70.38,,,,,36.42,35.78,72.14,,,,,66.71,,,,41.66,37.64,68.89,,,53.11,37.64,,4.95,0.0,2.99,-1.05,6.89,6.81,2.15,0.0,0.32,6.81,0.02,0.01,1.63,0.26,0.4,2.46,0.01,0.0,0.0,0.06,0.71,4.56,1.37,0.02,5.98,15.47,0.03,0.14,,,,,0.0,0.0,0.0,,0.0,0.0,5.92,100.0,0.0
ES0 7,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.08,0.0,,,121.97,92.13,75.14,71.26,,,,,39.65,38.67,73.02,,,,,67.58,,,,43.21,38.37,66.57,73.88,,53.14,38.82,66.02,1.56,0.0,41.82,-2.14,41.23,32.49,13.36,0.0,1.55,32.49,1.46,0.03,7.98,0.16,7.01,0.89,1.39,0.0,0.0,1.24,3.33,38.93,6.55,5.48,38.11,73.84,0.09,12.43,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
ES0 8,0.0,1.37,0.0,0.0,0.0,0.0,0.12,0.0,0.0,,0.0,,114.53,84.69,74.21,70.39,,,,,34.68,34.18,72.15,,,,,66.72,64.37,,,41.27,36.58,64.37,69.44,69.99,54.58,38.25,,-41.48,0.0,-2.99,0.25,-44.21,20.28,45.28,0.0,0.97,20.28,0.37,0.02,6.37,0.14,10.72,2.04,0.0,0.0,25.36,7.76,1.86,87.09,4.09,0.0,1196.95,46.09,0.04,2.26,,0.0,0.05,,37.26,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
ES0 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,118.45,88.62,77.36,72.67,,,,,40.4,39.82,74.67,,,,,69.24,,,,51.41,,66.43,66.56,,57.59,48.39,,-1.92,0.0,65.78,2.03,65.88,13.91,10.5,0.0,0.66,13.91,0.53,0.0,5.28,0.09,1.81,0.5,0.0,0.0,0.0,1.39,1.21,0.0,2.8,0.0,406.25,31.62,0.01,2.19,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,100.0,0.0
ES2 0,0.0,0.15,0.0,0.0,0.0,0.0,0.13,0.0,0.0,,0.0,,123.6,93.77,75.89,71.82,,,,,34.79,34.13,73.81,,,,,68.38,58.62,,,,40.51,58.62,64.06,69.51,52.36,40.51,,0.56,0.0,1.31,-0.01,1.85,2.92,1.05,0.0,0.14,2.92,0.16,0.21,0.93,0.01,1.1,0.0,0.12,0.0,1.63,0.1,0.69,3.6,0.59,0.28,3.13,6.63,0.6,1.7,,0.0,0.04,,27.27,0.0,0.0,,0.0,0.0,36.6,100.0,0.0
FI3 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,,139.23,109.4,85.71,76.95,,,,,52.12,51.49,79.62,,,,,74.19,,,59.99,,,62.08,67.25,59.99,69.65,63.72,77.25,0.53,0.0,27.98,3.1,31.61,8.66,0.64,0.0,0.12,8.66,1.13,0.0,5.39,0.09,4.42,0.27,0.06,2.75,0.01,0.0,3.0,0.0,0.0,0.0,1.77,19.69,0.0,7.64,,0.0,9.7,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
FI3 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,,137.81,107.98,82.96,74.52,,,,,52.91,52.4,77.17,,,,,71.74,,,59.39,,,62.12,67.97,61.47,69.39,63.61,74.18,3.23,0.0,6.44,0.68,10.35,4.14,0.56,0.0,0.06,4.14,0.24,0.0,3.12,0.28,1.58,1.25,0.05,3.54,0.0,0.0,1.66,0.0,0.0,0.0,1.92,9.42,0.0,3.24,,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
FI3 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,,140.01,110.18,86.61,78.0,,,,,53.28,52.55,80.69,,,,,75.25,,,,,,67.22,64.54,62.72,70.67,64.99,78.07,4.76,0.0,32.87,2.56,40.19,5.16,0.35,0.0,0.07,5.16,0.46,0.0,4.6,0.23,2.36,0.41,0.03,0.0,0.0,0.0,2.07,0.0,0.0,0.0,1.11,11.72,0.0,3.48,,0.0,10.36,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0
FI3 3,0.0,1.2,0.0,0.0,0.0,0.0,,,0.0,0.01,,,132.59,102.76,79.5,71.79,,,,,51.66,50.99,74.45,,,,,69.02,55.88,,,,,55.88,69.06,,,,72.55,1.31,0.0,-38.66,0.59,-36.76,1.42,0.29,0.0,0.02,1.42,0.0,0.0,1.04,0.17,0.36,0.83,0.09,0.0,21.85,0.05,0.52,0.0,0.0,0.0,1.09,3.22,0.0,0.47,,0.0,,,9.25,0.0,0.0,0.0,0.0,0.0,,,0.0
FI3 4,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,139.69,109.86,86.59,78.07,,,,,47.8,47.45,80.77,,,,,75.34,53.65,,,,62.09,53.65,63.05,64.33,70.09,62.09,79.76,6.0,0.0,15.92,4.06,25.98,8.47,0.55,0.0,0.11,8.47,1.1,0.0,4.78,0.08,4.37,0.02,0.06,0.0,5.02,0.0,3.15,9.04,0.0,0.0,1.78,19.26,0.0,7.58,,0.01,0.59,,12.67,0.0,0.0,0.0,0.0,0.0,44.13,0.04,0.0
FR0 0,0.0,2.07,0.0,0.0,0.0,0.0,0.05,0.01,0.0,,,,120.88,91.04,77.64,73.71,,,,,41.08,39.98,75.53,,,,,70.1,57.56,,,47.84,42.42,58.32,65.44,,53.36,42.42,,0.5,0.0,-20.2,-2.9,-22.6,6.85,4.26,0.0,0.07,6.85,0.5,1.67,2.83,0.13,1.95,0.69,1.53,0.0,18.93,0.79,1.63,9.38,1.45,0.0,11.15,15.58,4.86,2.46,,0.01,,,100.0,0.0,0.0,,0.0,0.0,47.35,100.0,0.0
FR0 1,,4.6,0.0,0.0,0.0,0.0,0.14,0.01,0.0,,,,139.91,110.07,90.41,82.32,,,,,46.76,45.83,84.9,,,,,79.5,52.51,,,62.59,55.6,54.38,,,62.59,55.6,,7.52,0.0,42.5,21.91,71.93,65.39,5.57,0.0,0.7,65.39,6.19,0.0,23.7,0.3,25.32,0.0,1.62,0.0,40.39,0.0,10.55,41.72,12.53,0.0,16.6,148.62,0.0,43.63,,,,,100.0,0.0,0.0,,0.0,0.0,36.7,90.76,0.0
FR0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.01,0.22,0.01,,,130.18,100.34,84.7,79.61,,,,,45.82,44.45,81.37,,,,,75.94,,,,46.58,41.39,74.06,86.83,,56.05,43.03,70.22,24.43,0.0,-11.7,0.26,13.0,9.7,2.12,0.0,0.1,9.7,0.65,8.39,3.7,0.21,3.67,1.64,0.51,0.0,0.0,0.13,1.6,27.42,2.05,3.48,5.77,22.05,24.42,6.12,,0.02,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
FR0 11,,0.54,0.0,0.0,0.0,0.0,0.24,0.01,0.0,,,,146.54,116.71,94.81,87.63,,,,,48.99,48.12,90.1,,,,,84.66,63.92,,,,57.48,63.92,,,64.35,57.48,,5.14,0.0,-2.92,0.0,2.21,7.77,0.52,0.0,0.08,7.77,0.12,0.0,3.78,0.57,5.42,0.0,0.02,0.0,10.51,0.0,1.29,10.37,0.88,0.0,1.17,17.67,0.0,0.9,,,,,17.96,0.0,0.0,,0.0,0.0,10.71,53.83,0.0
FR0 12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,135.98,106.15,82.45,77.7,,,,,42.4,41.34,79.81,,,,,74.38,,,,54.39,48.21,71.17,72.34,71.69,58.45,48.21,69.82,3.51,0.0,15.47,1.66,20.63,11.1,1.01,0.0,0.12,11.1,0.71,0.0,4.71,0.42,3.21,0.02,0.0,0.0,0.0,0.0,2.89,13.69,2.34,0.0,2.97,25.23,0.01,4.23,,0.0,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,17.98,100.0,0.0
FR0 13,,1.84,0.0,0.0,0.0,0.0,1.14,0.0,0.02,0.02,,,142.06,112.23,93.06,86.56,,,,,50.25,49.15,88.5,,,,,83.06,83.11,,,54.09,49.65,86.61,,,61.34,49.65,77.28,1.89,0.0,-46.99,2.05,-43.05,6.7,0.84,0.0,0.07,6.7,0.4,0.01,2.72,0.08,2.19,4.09,0.03,0.0,22.85,0.0,0.85,29.05,1.41,1.79,2.48,15.23,0.02,3.24,,,,,100.0,0.0,0.0,0.0,0.0,0.0,96.55,100.0,0.0
FR0 14,0.05,3.21,0.0,0.0,0.0,0.0,0.67,0.01,0.15,0.02,,,129.42,99.59,83.73,79.05,,,,,41.79,40.74,80.82,,,,,75.39,54.48,,,44.81,40.4,73.64,75.69,,55.5,43.57,69.23,3.1,0.0,-11.64,-0.52,-9.06,11.74,6.92,0.0,0.13,11.74,1.14,2.07,6.02,0.08,4.49,1.54,1.8,0.23,15.23,0.42,2.5,26.9,2.48,2.71,19.67,26.67,6.02,6.22,,100.0,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
FR0 15,,5.46,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,,,143.97,114.14,93.59,85.14,,,,,48.64,47.66,87.78,,,,,82.34,57.11,,,,57.9,59.21,,,65.56,57.9,,3.74,0.0,-43.54,1.55,-38.24,5.17,0.47,0.0,0.06,5.17,0.28,0.0,2.31,0.19,1.44,0.95,0.12,0.0,27.42,0.0,0.88,8.81,0.65,0.0,1.34,11.75,0.0,1.91,,,,,100.0,0.0,0.0,,0.0,0.0,16.45,59.38,0.0
FR0 16,,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.01,,,147.46,117.63,96.15,88.33,,,,,49.51,48.46,90.64,,,,,85.21,,,,59.29,53.69,80.73,,,63.34,53.69,80.08,2.57,0.0,22.52,5.54,30.63,15.76,1.39,0.0,0.17,15.76,1.11,0.0,5.77,0.23,4.32,0.31,0.0,0.0,0.0,0.0,1.99,17.84,3.33,0.0,3.51,35.83,0.0,5.95,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27.79,100.0,0.0
FR0 17,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,,,143.33,113.5,90.67,83.65,,,,,47.43,46.55,86.14,,,,,80.7,,,,60.84,54.31,66.81,,,61.2,54.31,,3.08,0.0,20.41,-1.94,21.54,8.1,0.6,0.0,0.09,8.1,0.35,0.0,3.61,0.4,1.82,0.06,0.0,0.0,0.0,0.0,1.45,3.44,1.71,0.0,1.67,18.42,0.0,2.53,,,,,0.0,0.0,0.0,,0.0,0.0,3.4,100.0,0.0
FR0 18,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122.72,92.89,80.96,74.0,,,,,41.58,40.45,76.62,,,,,71.18,42.87,,,,,43.1,55.25,57.77,62.77,57.27,,-5.13,0.0,-46.46,-13.62,-65.21,9.03,12.23,0.0,0.1,9.03,0.55,0.0,3.88,0.19,2.36,0.24,6.53,0.0,42.29,1.3,1.89,0.0,0.0,0.0,13.56,20.52,0.0,4.95,,0.0,0.08,,100.0,0.0,0.0,,0.0,0.0,0.0,0.04,0.0
FR0 19,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,,140.54,110.7,90.58,81.79,,,,,47.04,46.08,84.46,,,,,79.03,38.66,,,,,50.93,62.73,59.49,66.92,60.81,,3.0,0.0,-13.61,-5.77,-16.38,10.5,1.07,0.0,0.11,10.5,0.93,0.0,4.21,0.06,3.93,0.0,0.29,0.72,14.99,0.0,1.75,0.0,0.01,0.0,3.28,23.86,0.0,5.17,,0.01,100.0,,100.0,0.0,0.0,,0.0,0.0,0.01,0.6,0.0
FR0 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.03,,,145.12,115.28,95.18,87.93,,,,,56.08,54.71,89.96,,,,,84.53,,,,,,69.09,,,62.98,54.64,79.55,4.46,0.0,6.0,-7.98,2.48,4.17,0.58,0.0,0.04,4.17,0.08,0.0,1.82,0.11,1.6,2.96,0.0,0.0,0.0,0.0,0.5,0.0,0.88,2.17,1.76,9.48,0.01,2.96,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0
FR0 20,0.0,1.11,0.0,0.0,0.0,0.0,0.29,0.01,0.0,,0.0,,133.95,104.12,82.45,77.3,,,,,43.22,42.15,79.64,,,,,74.2,63.8,,,56.5,51.03,63.8,65.77,65.94,58.92,51.03,,1.96,0.0,2.97,-0.72,4.21,9.25,0.84,0.0,0.1,9.25,0.36,0.0,4.31,0.52,1.98,0.0,0.24,0.0,7.07,0.0,2.08,13.24,1.95,0.0,2.3,21.03,0.01,2.99,,0.18,1.57,,13.66,0.0,0.0,,0.0,0.0,12.66,100.0,0.0
FR0 21,,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.02,,,151.02,121.18,100.41,91.86,,,,,51.85,50.65,94.28,,,,,88.84,,,,63.52,57.2,79.12,,,65.78,57.2,82.88,2.27,0.0,24.55,-5.0,21.82,13.47,0.95,0.0,0.14,13.47,0.69,0.0,4.97,0.24,4.08,1.6,0.0,0.0,0.0,0.0,1.28,3.67,2.84,0.0,1.35,30.61,0.0,3.1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.62,100.0,0.0
FR0 22,0.0,2.56,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.32,,132.37,102.53,84.6,76.84,,,,,44.52,43.4,79.53,,,,,74.09,44.65,,57.11,,56.75,45.26,57.67,57.11,65.93,56.75,,-1.69,0.0,-34.38,-2.39,-38.46,9.94,4.57,0.0,0.11,9.94,0.78,0.0,4.5,0.1,3.5,0.0,1.58,1.02,29.55,0.95,1.83,5.54,0.0,0.0,15.06,22.59,0.0,5.64,,0.0,11.41,,100.0,0.0,0.0,,0.0,0.0,7.73,0.06,0.0
