,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
BE0 4,,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.0,,,,149.27,119.44,98.51,88.67,,,,,50.03,49.09,91.3,,,,,85.87,,,,66.84,59.69,61.65,,,68.74,61.53,,14.27,0.0,41.2,12.19,67.66,10.29,3.1,0.0,1.5,10.29,1.13,0.0,5.03,0.04,3.63,0.0,0.01,0.0,0.5,0.0,2.01,11.69,2.25,0.0,2.73,23.39,0.0,4.51,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
BG0 0,0.0,0.04,0.0,0.0,0.0,0.0,0.12,0.01,0.0,0.0,0.0,,143.97,114.14,90.66,86.5,,,,,46.88,45.74,88.69,,,,,83.26,85.34,,,50.25,44.85,85.34,95.77,94.46,50.63,44.85,83.24,2.78,0.0,5.84,2.16,10.78,11.4,1.24,0.0,0.03,11.4,0.38,0.0,3.19,0.2,1.68,0.34,0.0,0.0,2.76,0.0,1.63,10.93,3.07,0.0,4.18,25.91,0.01,3.13,,0.0,0.39,,3.94,0.0,0.0,0.0,0.0,0.0,8.12,100.0,0.0
BG0 1,,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.01,,,,144.23,114.4,90.54,86.4,,,,,48.68,47.55,88.61,,,,,83.18,,,,50.6,45.19,80.29,,,51.48,45.19,,4.28,0.0,15.29,1.88,21.45,15.94,0.88,0.0,0.05,15.94,0.46,0.0,3.56,0.25,2.18,2.56,0.0,0.0,0.0,0.0,1.73,5.15,4.29,1.21,2.58,36.22,0.01,4.31,,,,,0.0,0.0,0.0,,0.0,0.0,5.19,100.0,0.0
CH0 0,,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.02,0.02,,,147.72,117.89,96.97,89.55,,,,,54.86,53.67,91.75,,,,,86.32,,,,58.43,53.67,76.29,,,65.05,54.04,69.04,11.06,0.0,-33.6,4.72,-17.81,13.53,0.59,0.0,0.01,13.53,0.53,0.0,4.07,0.29,2.58,8.92,0.0,0.0,0.0,0.0,1.5,46.84,2.75,3.26,1.54,30.74,0.01,4.68,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
CH0 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,,,148.82,118.99,97.87,89.94,,,,,56.11,54.97,92.22,,,,,86.79,,,,61.46,,77.36,,,65.86,60.42,70.44,11.78,0.0,20.93,4.81,37.52,25.15,0.91,0.0,0.03,25.15,0.88,0.0,6.52,0.46,4.88,10.1,0.0,0.0,0.0,0.0,3.05,0.0,5.11,7.43,2.06,57.15,0.0,10.01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
CZ0 0,,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,149.5,119.66,99.5,90.81,,,,,53.32,52.11,93.39,,,,,87.95,69.67,,,,,69.67,,,68.22,61.29,,2.43,0.0,-14.23,-0.38,-12.18,13.33,0.47,0.0,0.0,13.33,0.76,0.0,4.83,0.41,6.49,0.51,0.0,0.0,28.22,0.0,2.59,0.01,0.0,0.0,1.13,30.29,0.0,3.1,,,,,75.0,0.0,0.0,,0.0,0.0,0.01,0.12,0.0
CZ0 1,,0.44,0.0,0.0,0.0,0.0,0.04,0.01,0.0,,,,149.57,119.74,99.74,91.19,,,,,53.29,52.07,93.76,,,,,88.32,68.61,,,,60.04,73.64,,,67.46,60.04,,5.4,0.0,11.29,0.98,17.68,9.04,1.0,0.0,0.0,9.04,0.59,0.0,3.97,0.14,3.99,0.65,0.0,0.0,10.85,0.0,1.65,2.37,0.47,0.0,1.04,20.54,0.0,2.48,,,,,100.0,0.0,0.0,,0.0,0.0,7.29,21.35,0.0
CZ0 2,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,,151.07,121.24,100.53,91.75,,,,,53.92,52.83,94.35,,,,,88.92,,,,,60.47,72.18,,,69.03,60.47,83.25,3.63,0.0,38.4,5.87,47.9,20.47,0.69,0.0,0.0,20.47,0.92,0.0,7.83,0.95,7.2,0.76,0.0,0.0,0.0,0.0,4.23,12.95,0.0,0.0,1.65,46.53,0.0,5.38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.85,0.1,0.0
DE0 0,,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,127.33,97.5,98.08,88.91,,,,,50.77,49.69,91.53,,,,,86.1,45.96,,,,,61.29,,,71.03,63.93,,48.08,0.0,-12.71,19.06,54.44,4.12,0.47,0.0,0.03,4.12,0.16,0.0,1.16,0.2,0.89,0.0,0.0,0.0,8.56,0.0,0.7,0.0,0.0,0.0,41.25,9.36,0.0,0.65,,,,,100.0,0.0,0.0,,0.0,0.0,0.01,0.06,0.0
DE0 1,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,151.55,121.72,100.58,91.31,,,,,52.89,51.73,93.91,,,,,88.48,,,,68.8,61.25,73.22,,,69.0,61.25,92.35,15.92,0.0,12.18,8.09,36.18,10.99,0.42,0.0,0.09,10.99,0.5,0.0,3.21,0.33,2.23,0.19,0.0,0.0,0.0,0.0,1.26,11.77,2.19,0.0,0.84,24.97,0.0,1.86,,,,,0.0,0.0,0.0,0.0,0.0,0.0,38.05,99.99,0.0
DE0 10,,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,148.75,118.92,98.56,89.0,,,,,51.68,50.66,91.62,,,,,86.19,53.33,,,,,61.07,,,71.68,64.24,90.23,6.03,0.0,-4.3,4.37,6.1,14.9,0.63,0.0,0.12,14.9,1.08,0.0,4.53,0.11,3.15,0.22,0.01,0.0,16.52,0.0,1.82,0.0,0.0,0.0,1.73,33.86,0.0,3.78,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
DE0 11,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13,,110.63,80.8,82.28,74.82,,,,,37.77,37.11,77.52,,,,,72.09,40.99,,49.11,,,44.52,53.89,49.11,65.6,60.92,,-32.43,0.0,-91.61,-1.89,-125.92,10.46,25.44,0.0,0.08,10.46,0.21,0.0,4.29,0.43,9.89,0.0,2.4,38.12,16.82,6.2,1.38,0.0,0.0,0.0,1910.4,23.78,0.0,2.03,,0.01,99.69,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
DE0 12,,0.54,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,148.55,118.72,98.31,89.01,,,,,51.9,50.89,91.67,,,,,86.24,60.98,,,,61.61,60.98,,,69.75,61.61,91.82,8.38,0.0,5.48,5.51,19.38,24.49,0.96,0.0,0.19,24.49,1.34,0.0,6.55,0.53,4.36,0.0,0.03,0.0,12.86,0.0,4.04,15.36,0.0,0.0,2.29,55.66,0.0,7.19,,,,,61.47,0.0,0.0,0.0,0.0,0.0,37.8,0.02,0.0
DE0 13,,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.0,0.0,,,151.46,121.63,100.22,91.03,,,,,52.63,51.47,93.56,,,,,88.13,,,,65.61,58.68,73.93,,,68.02,58.68,91.86,6.39,0.0,22.98,6.01,35.38,23.14,0.95,0.0,0.18,23.14,1.39,0.0,5.76,0.23,5.53,0.12,0.0,0.0,0.0,0.0,3.04,17.61,4.62,0.0,1.53,52.59,0.0,6.36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,46.04,100.0,0.0
DE0 14,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,150.78,120.95,99.81,90.57,,,,,53.47,52.65,93.2,,,,,87.76,,,,,62.79,66.31,,,71.29,62.79,91.76,1.97,0.0,9.92,0.17,12.05,5.12,0.2,0.0,0.04,5.12,0.07,0.0,1.65,0.37,0.56,0.09,0.0,0.0,0.0,0.0,0.71,1.67,0.0,0.0,0.41,11.65,0.0,0.28,,,,,0.01,0.0,0.0,0.0,0.0,0.0,6.77,0.11,0.0
DE0 15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,,120.25,90.42,90.43,81.81,,,,,48.24,47.47,84.47,,,,,79.04,38.8,,49.46,,,53.69,62.8,59.57,69.44,63.68,84.78,-6.61,0.0,-17.88,7.35,-17.14,24.28,13.34,0.0,0.19,24.28,1.48,0.0,8.11,0.64,4.71,0.12,0.0,4.19,31.9,2.57,3.92,0.0,0.0,0.0,1062.2,55.17,0.0,6.32,,0.01,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DE0 16,,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.0,0.01,,,151.45,121.62,100.43,91.37,,,,,53.34,52.13,93.89,,,,,88.46,,,,65.72,59.28,75.86,,,68.14,59.28,91.9,4.9,0.0,22.49,5.44,32.83,13.85,0.59,0.0,0.11,13.85,0.75,0.0,4.16,0.22,3.41,0.28,0.0,0.0,0.0,0.0,1.82,5.41,2.76,0.0,0.81,31.48,0.0,3.45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.13,100.0,0.0
DE0 17,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,150.67,120.84,99.52,90.4,,,,,52.1,51.09,93.0,,,,,87.56,,,,67.69,60.19,66.44,,,68.62,60.19,90.64,2.15,0.0,30.26,5.9,38.32,16.09,1.39,0.0,0.13,16.09,0.87,0.0,5.97,0.39,2.7,0.15,0.0,0.0,0.0,0.0,1.84,19.78,3.21,0.0,1.34,36.57,0.0,3.54,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47.43,100.0,0.0
DE0 18,,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,149.19,119.36,98.26,89.12,,,,,52.19,51.28,91.8,,,,,86.36,64.54,,,,,64.54,,,70.66,64.27,91.24,5.3,0.0,22.88,4.04,32.22,12.19,0.73,0.0,0.1,12.19,0.36,0.0,4.3,0.65,1.52,0.08,0.01,0.0,4.58,0.0,2.28,0.0,0.0,0.0,1.23,27.7,0.0,1.82,,,,,23.54,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0
DE0 19,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,151.34,121.51,100.8,91.19,,,,,53.85,52.87,93.82,,,,,88.39,,,,,62.99,68.94,,,70.99,62.99,92.08,5.99,0.0,22.35,2.62,30.97,10.54,0.43,0.0,0.08,10.54,0.36,0.0,3.66,0.44,1.7,1.52,0.0,0.0,0.0,0.0,1.3,5.43,0.4,0.0,0.84,23.96,0.0,1.33,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.65,19.25,0.0
DE0 2,,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.01,,,151.16,121.32,99.9,91.23,,,,,52.52,51.38,93.71,,,,,88.27,,,,63.86,57.76,75.31,,,67.22,57.76,87.84,4.66,0.0,7.84,3.77,16.27,11.03,0.56,0.0,0.09,11.03,0.65,0.0,2.89,0.13,3.33,3.04,0.0,0.0,0.0,0.0,1.28,12.41,2.2,0.0,0.82,25.07,0.0,2.94,,,,,0.0,0.0,0.0,0.0,0.0,0.0,65.36,100.0,0.0
DE0 20,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,150.73,120.9,100.14,90.52,,,,,53.2,52.07,93.15,,,,,87.72,,,,,62.86,66.11,,,71.2,62.86,91.61,3.53,0.0,25.0,3.63,32.16,10.57,0.56,0.0,0.08,10.57,0.54,0.0,3.63,0.22,1.9,1.11,0.0,0.0,0.03,0.0,1.48,2.25,0.01,0.0,0.85,24.01,0.0,2.26,,,,,0.43,0.0,0.0,0.0,0.0,0.0,7.21,0.4,0.0
DE0 21,,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,122.71,92.87,96.37,87.25,,,,,50.81,49.79,89.88,,,,,84.45,54.63,,,,,57.78,,,71.38,64.24,89.34,1.47,0.0,-2.89,4.15,2.73,14.42,2.16,0.0,0.11,14.42,0.98,0.0,5.17,0.28,3.55,0.03,0.0,0.0,19.76,0.01,2.36,0.0,0.0,0.0,189.85,32.78,0.0,4.59,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
DE0 22,,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,,,151.8,121.97,100.53,91.2,,,,,51.47,50.44,93.77,,,,,88.34,,,,65.49,58.32,71.22,,,68.55,59.09,91.27,0.98,0.0,31.36,5.15,37.5,18.05,1.15,0.0,0.14,18.05,1.31,0.0,6.74,0.04,4.23,0.28,0.0,0.0,0.0,0.0,1.81,21.71,3.6,0.0,1.35,41.02,0.0,5.64,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
DE0 23,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.19,86.36,87.15,79.25,,,,,44.27,43.58,81.93,,,,,76.49,48.04,,,,,48.04,60.15,,67.42,62.63,82.19,-1.16,0.0,-30.2,-0.11,-31.46,5.26,3.05,0.0,0.04,5.26,0.02,0.0,1.82,0.43,1.09,0.0,0.15,0.0,21.45,0.47,0.92,0.0,0.0,0.0,175.8,11.95,0.0,0.22,,0.0,,,86.89,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
DE0 24,,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,149.51,119.68,98.59,89.31,,,,,52.44,51.48,91.93,,,,,86.5,62.34,,,,,62.34,,,72.1,64.56,91.07,1.26,0.0,0.59,1.91,3.76,6.46,0.28,0.0,0.05,6.46,0.21,0.0,1.91,0.32,0.88,0.6,0.0,0.0,7.16,0.0,0.91,0.0,0.0,0.0,0.58,14.68,0.0,0.73,,,,,59.68,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.0
