,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
CZ0 1 - PL0 2,CZ0 1,PL0 2,312.0,1.8,1.799,0.0,1.799
CZ0 1 - PL0 5,CZ0 1,PL0 5,176.0,3.3470000000000004,2.7079999999999997,0.002,2.7059999999999995
CZ0 1 - SK0 0,CZ0 1,SK0 0,178.0,0.0,2.249,2.249,0.0
CZ0 2 - DE0 1,CZ0 2,DE0 1,271.0,23.832,0.218,0.0,0.218
CZ0 2 - DE0 18,CZ0 2,DE0 18,243.0,2.194,2.19,0.0,2.19
CZ0 2 - DE0 20,CZ0 2,DE0 20,197.33333333333334,9.676,9.309,0.001,9.308
CZ0 2 - DE0 25,CZ0 2,DE0 25,170.0,40.916,4.134,0.001,4.133
DE0 0 - DE0 10,DE0 0,DE0 10,126.66666666666667,26.532,6.447,0.002,6.444999999999999
DE0 0 - DE0 11,DE0 0,DE0 11,247.0,33.123999999999995,16.246000000000002,0.0,16.246000000000002
DE0 0 - DE0 21,DE0 0,DE0 21,126.0,0.0,0.001,0.001,0.0
DE0 0 - DE0 26,DE0 0,DE0 26,159.66666666666666,15.047,15.03,0.002,15.027999999999999
DE0 0 - DE0 7,DE0 0,DE0 7,204.0,0.0,0.002,0.002,0.0
DE0 0 - NL0 1,DE0 0,NL0 1,78.0,6.687,2.575,0.002,2.573
DE0 0 - NL0 3,DE0 0,NL0 3,104.0,26.636,2.723,0.0,2.723
DE0 1 - DE0 16,DE0 1,DE0 16,206.0,18.477,2.623,0.0,2.623
DE0 1 - DE0 19,DE0 1,DE0 19,131.0,0.0,0.651,0.651,0.0
DE0 1 - DE0 25,DE0 1,DE0 25,103.5,36.084,20.616,0.003,20.613
DE0 1 - DE0 27,DE0 1,DE0 27,112.0,59.916,25.154,0.002,25.152
DE0 1 - DE0 9,DE0 1,DE0 9,197.0,0.0,0.003,0.003,0.0
DE0 10 - DE0 11,DE0 10,DE0 11,359.0,17.012,13.603,0.0,13.603
DE0 10 - DE0 21,DE0 10,DE0 21,132.33333333333334,35.737,9.458,0.002,9.456
DE0 10 - DE0 24,DE0 10,DE0 24,116.0,3.323,3.2920000000000003,0.003,3.289
DE0 10 - DE0 26,DE0 10,DE0 26,76.66666666666667,28.044,13.093,0.003,13.09
DE0 10 - DE0 27,DE0 10,DE0 27,282.0,8.142,8.13,0.0,8.13
DE0 10 - DE0 5,DE0 10,DE0 5,203.0,0.0,0.004,0.004,0.0
DE0 10 - DE0 7,DE0 10,DE0 7,155.0,9.109,0.621,0.0,0.621
DE0 11 - DE0 15,DE0 11,DE0 15,168.5,1.011,3.3040000000000003,2.298,1.006
DE0 11 - DE0 21,DE0 11,DE0 21,243.66666666666666,68.375,9.437,4.673,4.763999999999999
DE0 11 - GB5 9,DE0 11,GB5 9,718.0,0.0,0.001,0.001,0.0
DE0 11 - NL0 3,DE0 11,NL0 3,152.0,79.007,1.877,0.0,1.877
DE0 11 - NO3 4,DE0 11,NO3 4,1043.0,24.56,22.593,0.0,22.593
DE0 11 - NO3 5,DE0 11,NO3 5,535.0,7.3,7.297,0.0,7.297
DE0 12 - DE0 18,DE0 12,DE0 18,152.0,60.97,1.699,0.002,1.697
DE0 12 - DE0 23,DE0 12,DE0 23,177.0,2.7,0.074,0.0,0.074
DE0 12 - DE0 3,DE0 12,DE0 3,213.0,33.120999999999995,4.763,0.002,4.760999999999999
DE0 12 - DE0 4,DE0 12,DE0 4,240.0,23.832,1.125,0.0,1.125
DE0 12 - DE0 8,DE0 12,DE0 8,151.0,31.848,3.065,0.001,3.064
DE0 12 - PL0 3,DE0 12,PL0 3,184.0,23.733,3.535,0.0,3.535
DE0 13 - DE0 15,DE0 13,DE0 15,710.0,0.0,0.001,0.001,0.0
DE0 13 - DE0 16,DE0 13,DE0 16,109.66666666666667,7.881,3.593,0.002,3.5909999999999997
DE0 13 - DE0 2,DE0 13,DE0 2,145.66666666666666,5.2989999999999995,5.279999999999999,0.002,5.2780000000000005
DE0 13 - DE0 22,DE0 13,DE0 22,102.0,7.127000000000001,2.791,0.002,2.7889999999999997
DE0 13 - DE0 27,DE0 13,DE0 27,168.0,0.0,0.003,0.003,0.0
DE0 14 - DE0 19,DE0 14,DE0 19,117.5,0.9,0.015,0.001,0.014
DE0 14 - DE0 20,DE0 14,DE0 20,180.0,0.0,0.001,0.001,0.0
DE0 14 - DE0 24,DE0 14,DE0 24,133.0,0.0,0.013,0.013,0.0
DE0 14 - DE0 27,DE0 14,DE0 27,170.0,0.9,0.899,0.0,0.899
DE0 14 - DE0 8,DE0 14,DE0 8,139.0,4.367,1.316,0.0,1.316
DE0 15 - DE0 21,DE0 15,DE0 21,228.33333333333334,60.202,15.628,0.001,15.626999999999999
DE0 15 - DE0 23,DE0 15,DE0 23,200.0,0.0,0.002,0.002,0.0
DE0 15 - DE0 3,DE0 15,DE0 3,340.0,31.552,0.008,0.0,0.008
DE0 15 - DE0 4,DE0 15,DE0 4,260.3333333333333,4.806,3.107,0.002,3.105
DE0 15 - DK0 0,DE0 15,DK0 0,306.6666666666667,3.59,11.86,8.272,3.588
DE0 15 - NO3 5,DE0 15,NO3 5,760.0,0.0,0.001,0.001,0.0
DE0 16 - DE0 9,DE0 16,DE0 9,120.33333333333333,54.617000000000004,3.084,0.002,3.082
DE0 17 - DE0 22,DE0 17,DE0 22,139.0,65.007,6.425,0.002,6.423
DE0 17 - DE0 5,DE0 17,DE0 5,146.0,0.0,0.002,0.002,0.0
DE0 17 - DE0 7,DE0 17,DE0 7,187.0,28.923,8.081999999999999,0.001,8.081
DE0 17 - FR0 4,DE0 17,FR0 4,170.0,2.7,3.558,0.863,2.695
DE0 17 - LU0 0,DE0 17,LU0 0,91.5,0.887,1.252,0.368,0.884
DE0 18 - DE0 20,DE0 18,DE0 20,136.0,76.829,1.436,0.002,1.434
DE0 18 - DE0 8,DE0 18,DE0 8,200.0,31.552,3.944,0.0,3.944
DE0 18 - PL0 2,DE0 18,PL0 2,233.0,2.025,0.063,0.0,0.063
DE0 18 - PL0 3,DE0 18,PL0 3,205.0,0.0,0.003,0.003,0.0
DE0 18 - PL0 4,DE0 18,PL0 4,469.0,21.512,5.197,0.0,5.197
DE0 19 - DE0 20,DE0 19,DE0 20,115.5,7.3,0.047,0.002,0.045
DE0 19 - DE0 25,DE0 19,DE0 25,159.0,0.0,1.653,1.653,0.0
DE0 19 - DE0 8,DE0 19,DE0 8,169.33333333333334,26.576,3.826,0.002,3.824
DE0 2 - DE0 22,DE0 2,DE0 22,185.0,4.972,4.97,0.002,4.968
DE0 2 - FR0 21,DE0 2,FR0 21,105.66666666666667,43.742999999999995,10.747,0.005,10.742
DE0 20 - DE0 8,DE0 20,DE0 8,139.0,36.529,9.987,0.0,9.987
DE0 21 - DE0 24,DE0 21,DE0 24,170.5,4.158,4.144,0.003,4.141
DE0 21 - DE0 27,DE0 21,DE0 27,348.0,16.112,16.101,0.0,16.101
DE0 21 - DE0 4,DE0 21,DE0 4,126.5,72.204,11.752,0.002,11.75
DE0 22 - DE0 27,DE0 22,DE0 27,159.0,39.944,5.245,0.002,5.243
DE0 22 - DE0 5,DE0 22,DE0 5,137.0,37.763,0.019999999999999997,0.002,0.018
DE0 22 - DE0 7,DE0 22,DE0 7,293.0,0.0,0.001,0.001,0.0
DE0 22 - FR0 21,DE0 22,FR0 21,204.0,28.923,5.435,0.0,5.435
DE0 23 - DE0 3,DE0 23,DE0 3,154.0,1.569,0.02,0.001,0.019
DE0 23 - DE0 4,DE0 23,DE0 4,223.0,31.23,0.085,0.0,0.085
DE0 23 - DE0 8,DE0 23,DE0 8,233.0,5.482,5.474,0.001,5.473
DE0 23 - DK3 0,DE0 23,DK3 0,287.0,0.0,2.156,2.156,0.0
DE0 23 - SE3 3,DE0 23,SE3 3,476.0,0.0,0.024,0.024,0.0
DE0 24 - DE0 27,DE0 24,DE0 27,182.5,8.142,6.825,0.001,6.824
DE0 24 - DE0 4,DE0 24,DE0 4,186.0,0.0,0.002,0.002,0.0
DE0 24 - DE0 5,DE0 24,DE0 5,157.0,0.0,0.003,0.003,0.0
DE0 25 - DE0 6,DE0 25,DE0 6,142.33333333333334,23.673,23.656,0.002,23.654
DE0 25 - DE0 9,DE0 25,DE0 9,174.0,2.389,2.378,0.0,2.378
