,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
BE0 4,,0.03,0.0,0.0,0.0,0.0,0.31,0.0,0.0,,,,115.0,85.17,126.9,116.09,,,,,56.63,55.85,118.26,,,,,112.83,,,,66.85,61.11,80.15,,,74.18,64.21,,5.32,39.3,15.43,7.01,67.06,10.29,0.0,2.81,1.5,6.43,10.29,0.67,2.33,4.6,0.04,17.12,0.0,0.0,0.0,0.5,1.58,1.86,11.69,2.25,0.0,0.0,23.39,7.73,12.88,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
BG0 0,0.0,0.17,0.0,0.0,0.0,0.0,0.22,0.01,0.01,0.0,0.0,,115.5,85.67,101.81,97.54,,,,,50.43,49.28,99.43,,,,,94.0,86.26,,,50.35,44.94,86.26,93.6,92.05,52.65,44.94,87.15,1.22,0.43,-2.16,2.12,1.61,11.4,3.53,0.0,0.03,1.37,11.4,0.3,3.47,2.98,0.2,1.59,0.34,0.0,0.0,6.12,0.28,1.11,16.68,3.07,0.2,0.0,25.91,15.11,2.89,,0.0,0.25,,8.73,0.0,0.0,0.0,0.0,0.0,12.4,100.0,0.0
BG0 1,,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.06,,,,115.16,85.33,102.48,98.38,,,,,52.09,50.72,100.21,,,,,94.77,,,,50.68,45.04,88.21,,,52.59,45.04,,0.17,4.3,-0.64,1.99,5.83,15.94,3.17,0.0,0.05,1.19,15.94,0.34,2.42,3.42,0.25,2.25,2.56,0.0,0.0,0.0,0.73,1.28,21.43,4.29,0.88,0.0,36.22,10.57,2.7,,,,,0.0,0.0,0.0,,0.0,0.0,21.58,100.0,0.0
CH0 0,,0.0,0.0,0.0,0.0,0.0,3.19,0.01,0.32,0.02,,,115.81,85.98,114.82,106.31,,,,,59.57,58.61,108.15,,,,,102.72,,,,58.66,55.69,95.37,,,65.62,55.93,78.84,-1.52,14.72,-27.37,4.96,-9.22,13.53,4.26,0.0,0.01,6.75,13.53,0.33,11.47,3.87,0.29,7.78,8.92,0.0,0.0,0.0,2.17,1.24,46.84,2.75,1.71,0.0,30.74,33.36,2.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
CH0 1,,0.0,0.0,0.0,0.0,0.0,1.63,0.01,0.72,0.02,,,116.01,86.17,117.92,109.05,,,,,61.49,60.51,110.81,,,,,105.37,,,,61.53,56.86,98.57,,,67.9,56.86,82.53,-12.08,37.13,-19.9,6.19,11.35,25.15,0.0,0.03,0.03,30.83,25.15,0.59,1.7,6.16,0.46,11.77,10.1,0.0,0.0,0.0,4.16,2.34,41.83,5.11,4.2,0.0,57.15,4.94,6.08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,54.17,100.0,0.0
CZ0 0,,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,116.06,86.23,117.6,109.79,,,,,58.53,57.47,112.16,,,,,106.72,71.1,,,,,71.1,,,69.25,62.11,,-3.64,7.87,-10.78,0.27,-6.28,13.33,4.67,1.23,0.0,5.81,13.33,0.55,0.0,5.01,0.41,9.27,0.51,0.0,0.0,29.61,1.06,2.57,0.0,0.0,0.0,0.0,30.29,0.01,7.34,,,,,78.71,0.0,0.0,,0.0,0.0,0.0,0.04,0.0
CZ0 1,,1.21,0.0,0.0,0.0,0.0,0.12,0.0,0.0,,,,116.05,86.22,116.88,109.73,,,,,58.37,57.56,112.11,,,,,106.68,71.78,,,,59.43,79.61,,,67.29,59.43,,0.65,13.44,-5.07,0.12,9.14,9.04,1.32,1.09,0.0,2.37,9.04,0.44,0.01,4.34,0.14,7.73,0.65,0.0,0.0,10.85,0.84,1.7,17.58,0.39,0.0,0.0,20.54,0.04,5.53,,,,,100.0,0.0,0.0,,0.0,0.0,54.12,17.66,0.0
CZ0 2,,0.0,0.0,0.0,0.0,0.0,0.42,0.03,0.0,0.0,,,115.92,86.09,122.13,113.66,,,,,59.74,58.74,115.96,,,,,110.53,,,,68.21,62.56,84.43,,,68.21,62.56,98.5,-4.81,22.59,28.32,6.12,52.22,20.47,0.0,2.42,0.0,12.7,20.47,0.66,0.0,7.4,0.94,12.78,0.76,0.0,0.0,0.0,1.48,4.19,12.18,4.1,0.0,0.0,46.53,0.01,12.79,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.02,82.73,0.0
DE0 0,,0.79,0.0,0.0,0.0,0.0,0.0,0.01,0.0,,,,115.2,85.37,120.69,112.08,,,,,56.49,55.62,114.43,,,,,109.0,47.48,,,,,70.24,,,72.05,65.7,,46.92,2.13,-12.81,19.9,56.14,4.12,1.01,0.39,0.03,27.26,4.12,0.11,0.01,1.08,0.2,1.43,0.0,0.0,0.0,8.56,0.2,0.63,0.02,0.82,0.0,1809.95,9.36,0.04,1.68,,,,,100.0,0.0,0.0,,0.0,0.0,0.12,100.0,0.0
DE0 1,,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.0,0.0,,,115.89,86.06,127.25,117.86,,,,,59.78,58.71,119.75,,,,,114.32,,,,69.28,63.05,86.07,,,71.85,63.05,116.07,11.84,12.47,9.73,8.04,42.08,10.99,0.0,1.46,0.09,25.15,10.99,0.35,0.01,3.14,0.33,5.98,0.19,0.0,0.0,0.0,0.72,1.28,8.92,2.19,0.0,0.0,24.97,0.04,5.67,,,,,0.01,0.0,0.0,0.0,0.0,0.0,28.85,100.0,0.0
DE0 10,,1.3,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.01,,,115.36,85.53,120.78,112.38,,,,,57.49,56.65,114.66,,,,,109.23,53.58,,,71.15,63.38,66.23,,,71.59,63.38,111.34,-2.94,15.16,-9.23,4.77,7.76,14.9,5.54,2.52,0.12,19.37,14.9,0.68,0.01,4.44,0.11,9.37,0.22,0.0,0.0,16.52,1.56,2.02,7.88,2.97,0.0,0.0,33.86,0.02,9.69,,,,,100.0,0.0,0.0,0.0,0.0,0.0,21.9,100.0,0.0
DE0 11,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,,114.9,85.07,81.56,73.49,,,,,45.21,44.42,76.2,,,,,70.77,42.11,,49.15,,,45.69,53.32,49.15,67.11,63.69,,5.05,-91.75,-1.85,2.26,-86.3,10.46,33.88,0.0,0.08,16.14,10.46,0.53,0.0,5.14,0.45,3.0,0.0,0.0,29.95,16.82,0.0,2.25,0.0,0.0,0.0,2460.94,23.78,0.0,6.15,,0.01,78.34,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
DE0 12,,0.72,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,115.33,85.5,116.2,108.03,,,,,56.48,55.66,110.3,,,,,104.87,61.31,,,,61.51,61.31,,,70.01,61.51,109.75,-3.03,24.66,-14.49,8.89,16.02,24.49,0.0,1.41,0.19,4.36,24.49,0.92,0.0,6.61,0.53,10.06,0.0,0.0,0.0,13.79,1.99,3.83,26.26,0.02,0.0,0.0,55.66,0.01,11.59,,,,,65.9,0.0,0.0,0.0,0.0,0.0,64.62,0.4,0.0
