,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
BE0 4,,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,,,,179.33,149.5,157.67,143.92,,,,,66.68,66.15,145.84,,,,,140.41,,,,66.78,59.87,120.0,,,99.47,84.71,,14.27,0.0,22.49,28.65,65.41,10.29,2.94,0.0,1.5,10.29,0.65,2.43,4.38,0.04,10.25,0.0,0.0,0.0,0.5,0.0,1.46,11.69,2.25,0.0,1.38,23.39,7.08,9.17,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
BG0 0,0.0,0.42,0.0,0.0,0.0,0.0,0.28,0.03,0.0,0.0,0.0,,142.72,112.89,104.48,99.91,,,,,51.73,50.75,101.75,,,,,96.32,87.58,,,50.5,45.28,87.58,95.5,94.6,52.95,45.28,89.07,2.78,0.0,-1.26,2.11,3.63,11.4,2.77,0.0,0.03,11.4,0.43,2.98,3.07,0.2,2.1,0.34,1.0,0.0,8.85,0.0,1.26,13.21,3.07,0.02,4.6,25.91,13.0,4.46,,0.0,0.25,,12.62,0.0,0.0,0.0,0.0,0.0,9.81,100.0,0.0
BG0 1,,0.0,0.0,0.0,0.0,0.0,0.53,0.03,0.07,,,,143.34,113.5,105.64,101.1,,,,,53.94,52.82,102.93,,,,,97.5,,,,50.83,45.73,89.93,,,53.38,45.73,,4.28,0.0,-3.27,3.24,4.25,15.94,1.27,0.0,0.05,15.94,0.46,3.7,3.46,0.25,2.77,2.56,0.2,0.0,0.0,0.0,1.35,22.55,4.29,2.32,3.23,36.22,16.13,5.19,,,,,0.0,0.0,0.0,,0.0,0.0,22.71,100.0,0.0
CH0 0,,0.0,0.0,0.0,0.0,0.0,5.61,0.04,0.24,0.04,,,148.23,118.4,119.3,110.04,,,,,62.65,61.4,111.88,,,,,106.44,,,,59.2,59.17,97.32,,,65.89,59.59,82.13,11.06,0.0,-29.52,6.21,-12.25,13.53,0.86,0.0,0.01,13.53,0.48,13.1,3.96,0.29,4.1,8.92,0.1,0.0,0.0,0.0,1.55,46.84,2.75,5.28,2.33,30.74,38.12,8.99,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
CH0 1,,0.0,0.0,0.0,0.0,0.0,3.98,0.05,0.51,0.12,,,149.1,119.27,122.23,112.79,,,,,64.61,63.43,114.61,,,,,109.17,,,,62.08,59.1,102.21,,,68.08,59.1,86.74,11.78,0.0,-25.55,7.69,-6.08,25.15,1.36,0.0,0.03,25.15,0.76,5.5,6.5,0.46,7.94,10.1,0.14,0.0,0.0,0.0,3.21,55.74,5.11,12.76,3.67,57.15,16.0,20.54,,,,,0.0,0.0,0.0,0.0,0.0,0.0,72.19,100.0,0.0
CZ0 0,,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,146.83,116.99,121.87,114.04,,,,,61.16,60.39,116.16,,,,,110.72,76.15,,,,,76.15,,,73.19,64.41,,2.43,0.0,-17.41,2.68,-12.3,13.33,1.38,0.0,0.0,13.33,0.7,0.1,5.44,0.41,3.78,0.51,0.62,0.0,33.52,0.0,2.67,0.0,0.0,0.0,2.66,30.29,0.42,9.52,,,,,89.1,0.0,0.0,,0.0,0.0,0.0,0.02,0.0
CZ0 1,,1.14,0.0,0.0,0.0,0.0,0.18,0.01,0.0,,,,149.95,120.12,122.26,114.45,,,,,61.25,60.64,116.77,,,,,111.34,71.47,,,,59.58,82.67,,,67.43,59.58,,5.4,0.0,-1.82,4.18,7.76,9.04,2.12,0.0,0.0,9.04,0.55,1.78,4.6,0.14,2.99,0.65,0.63,0.0,10.85,0.0,1.86,19.53,0.48,0.0,6.9,20.54,7.78,6.24,,,,,100.0,0.0,0.0,,0.0,0.0,60.14,21.91,0.0
CZ0 2,,0.0,0.0,0.0,0.0,0.0,0.62,0.05,0.0,0.0,,,153.7,123.87,128.65,119.77,,,,,63.23,62.33,121.91,,,,,116.48,,,,68.39,62.87,89.6,,,68.55,62.87,103.89,3.63,0.0,30.32,10.56,44.51,20.47,1.03,0.0,0.0,20.47,0.84,0.07,7.41,0.95,4.76,0.76,0.16,0.0,0.0,0.0,4.08,16.02,4.95,0.0,3.03,46.53,0.31,11.36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.12,99.99,0.0
DE0 0,,0.44,0.0,0.0,0.0,0.0,0.18,0.0,0.0,,,,122.0,92.17,128.32,119.96,,,,,57.71,57.12,121.85,,,,,116.42,46.65,,,,63.5,79.07,,,74.39,63.54,,43.32,0.0,-16.6,19.86,46.58,4.12,7.03,0.23,0.03,4.12,0.07,2.05,1.06,0.2,3.63,0.0,0.0,0.0,8.56,0.84,0.61,17.59,0.82,0.0,500.81,9.36,6.22,0.85,,,,,100.0,0.0,0.0,,0.0,0.0,99.97,100.0,0.0
DE0 1,,0.02,0.0,0.0,0.0,0.0,0.44,0.01,0.0,0.0,,,156.72,126.89,132.84,122.94,,,,,62.95,62.11,124.77,,,,,119.33,,,,68.89,63.55,88.21,,,72.52,63.55,121.38,15.92,0.0,10.19,10.58,36.69,10.99,0.67,0.0,0.09,10.99,0.45,1.92,3.29,0.33,2.38,0.19,0.03,0.0,0.37,0.0,1.34,12.65,2.19,0.0,1.91,24.97,5.83,6.43,,,,,2.04,0.0,0.0,0.0,0.0,0.0,40.92,100.0,0.0
DE0 10,,2.36,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.01,,,151.45,121.62,127.4,118.74,,,,,61.05,60.24,120.7,,,,,115.27,55.32,,,71.36,64.36,74.35,,,73.21,64.35,118.19,6.03,0.0,-9.27,10.52,7.27,14.9,1.11,0.0,0.12,14.9,0.9,0.26,4.81,0.11,5.38,0.22,0.33,0.0,16.52,0.0,1.98,2.44,2.97,0.0,3.04,33.86,1.14,14.38,,,,,100.0,0.0,0.0,0.0,0.0,0.0,6.79,100.0,0.0
DE0 11,0.0,2.38,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.28,,115.88,86.05,85.64,77.75,,,,,41.14,40.4,80.49,,,,,75.05,42.23,,49.27,,62.96,44.5,53.87,49.27,70.72,62.96,,-27.39,0.0,1.18,-5.01,-31.22,10.46,21.57,0.0,0.08,10.46,0.19,0.0,4.53,0.42,6.38,0.0,4.06,15.65,16.82,5.55,1.57,4.98,0.0,0.0,1257.96,23.78,0.0,2.05,,0.01,40.92,,100.0,0.0,0.0,,0.0,0.0,9.79,0.02,0.0
DE0 12,,2.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,147.35,117.51,119.21,111.44,,,,,59.17,58.55,113.83,,,,,108.4,62.87,,,69.61,61.57,63.28,,,69.6,61.57,113.58,8.38,0.0,-20.8,14.44,2.03,24.49,1.79,0.0,0.19,24.49,1.27,0.01,7.38,0.53,7.27,0.0,0.59,0.0,20.93,0.0,4.03,29.54,1.4,0.0,5.0,55.66,0.03,19.58,,,,,100.0,0.0,0.0,0.0,0.0,0.0,72.69,28.64,0.0
