,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
DE0 22,,0.0,0.0,0.0,0.0,0.0,0.64,0.01,0.0,0.01,,,158.59,128.75,133.8,123.29,,,,,61.64,60.66,125.12,,,,,119.68,,,,65.59,60.08,91.73,,,72.26,61.01,120.19,0.98,0.0,27.99,9.34,38.32,18.05,2.03,0.0,0.14,18.05,1.09,4.64,6.53,0.04,14.89,0.28,0.0,0.0,0.0,0.0,1.55,21.71,3.6,0.0,6.13,41.02,13.5,12.77,,,,,0.01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
DE0 23,0.0,2.24,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,113.82,83.99,99.13,91.93,,,,,44.54,43.9,94.62,,,,,89.19,50.06,,,,61.52,50.06,63.4,,70.98,61.52,93.85,-8.39,0.0,-12.54,-1.63,-22.56,5.26,10.26,0.0,0.04,5.26,0.02,0.0,1.82,0.44,1.28,0.0,1.5,0.0,19.06,1.68,0.76,10.1,0.0,0.0,570.52,11.95,0.01,0.16,,0.01,,,77.21,0.0,0.0,0.0,0.0,0.0,19.38,0.03,0.0
DE0 24,,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,151.99,122.16,125.68,116.79,,,,,61.4,60.51,118.86,,,,,113.43,62.49,,,71.1,,69.51,,,72.37,65.98,116.9,1.26,0.0,-9.25,3.14,-4.85,6.46,0.48,0.0,0.05,6.46,0.19,0.01,1.86,0.32,1.35,0.6,0.13,0.0,11.99,0.0,0.77,0.03,1.29,0.0,1.39,14.68,0.02,3.01,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0
DE0 25,,0.11,0.0,0.0,0.0,0.0,0.42,0.02,0.0,0.03,,,153.53,123.7,132.56,122.91,,,,,63.47,62.77,124.97,,,,,119.54,93.59,,,,64.79,93.59,,,72.21,64.79,122.61,2.71,0.0,2.8,0.86,6.36,4.09,0.28,0.0,0.03,4.09,0.03,1.42,1.57,0.32,0.88,0.2,0.08,0.0,1.43,0.0,0.47,7.39,0.82,0.0,0.75,9.29,5.39,0.81,,,,,10.78,0.0,0.0,0.0,0.0,0.0,40.41,100.0,0.0
DE0 26,,0.26,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,161.0,131.17,136.6,126.67,,,,,63.3,62.62,128.51,,,,,123.07,53.01,,,71.38,64.11,89.65,,,76.96,64.69,124.43,4.28,0.0,17.27,19.84,41.4,28.36,2.11,0.0,0.23,28.36,1.66,0.1,8.35,0.02,7.7,0.19,0.0,0.0,7.44,0.0,2.68,23.75,5.66,0.0,5.21,64.45,0.3,20.39,,,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
DE0 27,,0.51,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,,,156.43,126.6,131.51,121.77,,,,,62.6,61.83,123.74,,,,,118.3,80.42,,,68.04,60.76,80.42,,,71.65,60.76,119.42,10.8,0.0,-2.89,5.05,12.96,8.14,0.5,0.0,0.06,8.14,0.26,0.02,2.61,0.36,1.56,0.23,0.03,0.0,13.01,0.0,0.99,2.24,1.62,0.0,1.44,18.5,0.06,3.94,,,,,84.12,0.0,0.0,0.0,0.0,0.0,7.72,100.0,0.0
DE0 3,0.57,0.7,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.49,,113.96,84.13,96.62,89.1,,,,,43.87,43.16,91.81,,,,,86.39,43.72,55.16,57.33,,59.94,47.48,58.23,63.29,68.76,59.94,,-18.54,0.0,-19.93,-0.65,-39.11,4.0,15.47,0.0,0.03,4.0,0.01,0.0,1.27,0.35,0.52,0.0,1.67,7.9,16.68,3.76,0.64,12.86,0.0,0.0,844.33,9.08,0.01,0.04,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,34.4,0.04,0.0
DE0 4,,3.66,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.01,,,146.74,116.91,118.41,110.17,,,,,59.1,58.35,112.6,,,,,107.16,63.62,,,70.62,62.64,63.62,,,70.62,62.64,112.53,11.91,0.0,3.03,9.96,24.9,18.65,2.96,0.0,0.15,18.65,0.92,0.05,6.9,0.55,4.82,0.27,1.09,0.0,18.47,0.0,2.88,15.33,3.38,0.0,9.3,42.39,0.15,14.9,,,,,64.81,0.0,0.0,0.0,0.0,0.0,24.22,90.86,0.0
DE0 5,,0.76,0.0,0.0,0.0,0.0,0.89,0.01,0.0,0.0,,,156.27,126.44,131.27,121.82,,,,,61.93,61.17,123.68,,,,,118.25,81.15,,,67.24,61.66,81.15,,,71.88,61.66,122.1,6.11,0.0,5.61,15.58,27.29,24.38,1.8,0.0,0.19,24.38,1.55,3.25,7.36,0.03,23.08,0.0,0.08,0.0,10.53,0.0,2.5,30.0,4.87,0.0,5.47,55.41,11.15,19.2,,,,,94.59,0.0,0.0,0.0,0.0,0.0,94.37,100.0,0.0
DE0 6,,0.0,0.0,0.0,0.0,0.0,1.46,0.02,0.0,0.03,,,157.43,127.6,135.93,125.26,,,,,63.75,62.93,127.12,,,,,121.69,,,,65.31,62.72,104.38,,,69.53,62.72,122.17,21.0,0.0,2.83,8.75,32.58,8.36,0.75,0.0,0.07,8.36,0.1,7.37,3.12,0.6,1.06,0.79,0.01,0.0,0.0,0.0,0.95,18.82,1.67,0.0,2.19,19.0,26.85,1.69,,,,,0.0,0.0,0.0,0.0,0.0,0.0,42.69,100.0,0.0
DE0 7,,0.5,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,,,161.04,131.21,136.72,126.76,,,,,62.73,61.91,128.56,,,,,123.13,52.86,,,69.14,62.13,89.74,,,76.98,65.51,124.72,10.35,0.0,62.15,38.48,110.98,38.96,5.46,0.0,0.31,38.96,2.24,2.24,15.99,0.21,10.38,0.03,0.0,0.0,11.65,0.0,3.82,45.25,7.78,0.0,9.02,88.55,6.53,26.51,,,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
DE0 8,,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,,,148.88,119.04,117.91,109.7,,,,,58.87,58.21,112.0,,,,,106.56,,,,,63.65,68.03,,,69.8,63.65,110.92,1.63,0.0,24.48,2.91,29.03,7.63,1.35,0.0,0.06,7.63,0.32,0.0,3.9,0.33,1.75,0.01,0.44,0.0,0.0,0.0,1.2,7.97,0.67,0.0,4.3,17.34,0.01,4.22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20.93,43.77,0.0
DE0 9,,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.01,,,157.94,128.11,133.88,123.02,,,,,63.57,62.64,124.87,,,,,119.44,,,,65.54,58.48,99.66,,,70.91,58.48,119.53,1.87,0.0,22.02,8.75,32.64,22.86,1.6,0.0,0.18,22.86,0.99,0.02,6.3,0.5,6.13,0.73,0.0,0.0,0.0,0.0,2.45,17.92,4.56,0.0,4.6,51.96,0.05,12.3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,33.74,100.0,0.0
DK0 0,0.0,0.58,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,1.54,,117.09,87.25,80.64,71.82,,,,,41.9,41.27,74.51,,,,,69.08,31.11,,52.83,,60.02,44.31,53.15,52.83,66.44,60.02,,-70.25,0.0,-14.82,-16.34,-101.41,13.41,52.66,0.0,0.6,13.41,0.65,0.0,6.85,0.3,18.58,0.0,8.87,7.24,60.58,13.0,2.99,10.59,0.0,0.0,2772.11,30.47,0.0,4.29,,0.0,11.28,,100.0,0.0,0.0,,0.0,0.0,9.21,0.01,0.0
DK3 0,0.0,0.63,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.33,,120.9,91.07,86.4,76.86,,,,,46.63,45.89,79.63,,,,,74.2,29.74,,56.11,,57.01,51.52,57.18,56.11,68.16,57.01,,-13.76,0.0,0.35,-1.14,-14.55,7.16,12.59,0.0,0.32,7.16,0.69,0.0,4.1,0.1,4.38,0.0,0.88,3.08,11.59,3.11,2.01,17.98,0.0,0.0,680.41,16.27,0.0,4.02,,0.0,38.53,,100.0,0.0,0.0,,0.0,0.0,61.8,0.2,0.0
EE6 0,0.0,2.66,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,0.0,,134.89,105.06,92.38,84.9,,,,,52.6,51.73,87.92,,,,,82.49,45.65,,,,60.24,45.65,56.15,57.11,71.81,60.24,,-4.78,0.0,-4.44,-8.17,-17.39,5.37,8.86,0.0,0.2,5.37,0.24,0.0,2.7,0.24,2.6,0.0,4.15,0.0,16.9,1.32,2.08,9.67,0.0,0.0,13.96,12.2,0.01,11.3,,0.0,0.0,,18.05,0.0,0.0,,0.0,0.0,15.59,0.11,0.0
ES0 0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.14,,,,122.4,92.57,75.84,72.42,,,,,34.3,33.48,74.15,,,,,68.72,,,,40.47,36.34,75.1,74.15,,53.25,36.34,,-7.02,0.0,-11.04,-4.41,-22.48,17.45,13.78,0.0,0.83,17.45,0.87,9.18,4.14,0.09,3.47,0.25,1.36,0.0,0.0,1.66,2.42,55.29,3.52,0.32,41.05,39.66,26.7,6.5,,0.0,,,0.0,0.0,0.0,,0.0,0.0,77.71,100.0,0.0
ES0 1,,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.03,,,,124.87,95.03,76.89,73.45,,,,,40.26,39.16,75.2,,,,,69.77,,,,42.07,38.01,72.13,,,54.24,38.01,,7.18,0.0,18.4,-3.4,22.19,40.64,16.71,0.0,1.94,40.64,1.7,0.02,9.28,0.41,7.49,0.57,0.01,0.0,0.0,1.42,3.54,63.36,8.19,3.92,43.98,92.35,0.04,12.16,,,,,0.0,0.0,0.0,,0.0,0.0,31.91,100.0,0.0
ES0 10,,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,,,,125.92,96.09,76.84,72.92,,,,,28.73,28.71,74.75,,,,,69.32,,,,,38.96,63.44,,,54.82,38.96,,1.69,0.0,-29.83,-1.69,-29.84,2.84,0.93,0.0,0.14,2.84,0.0,0.01,1.02,0.12,0.23,3.51,0.0,0.0,0.0,0.02,0.23,28.06,0.57,0.0,2.65,6.45,0.01,0.01,,,,,0.0,0.0,0.0,,0.0,0.0,61.61,100.0,0.0
ES0 11,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,,,,120.94,91.11,75.57,72.15,,,,,36.54,35.66,73.87,,,,,68.43,,,,40.25,36.79,72.01,78.46,,53.39,36.79,,-6.7,0.0,-41.79,-1.83,-50.33,19.83,16.83,0.0,0.95,19.83,0.91,42.53,4.74,0.13,3.46,0.87,2.18,0.0,0.0,2.26,1.96,90.67,4.0,0.02,47.13,45.07,123.75,6.29,,0.01,,,0.0,0.0,0.0,,0.0,0.0,65.0,100.0,0.0
ES0 12,0.0,0.59,0.0,0.0,0.0,0.0,0.14,0.0,0.0,,,,129.41,99.58,79.34,75.25,,,,,42.17,41.05,77.1,,,,,71.67,64.75,,,45.86,41.17,64.75,72.6,,57.06,41.17,,2.6,0.0,-0.05,-2.57,-0.02,7.05,2.35,0.0,0.34,7.05,0.3,0.0,2.78,0.07,1.7,0.2,0.0,0.0,8.76,0.14,0.71,8.82,1.42,1.04,6.63,16.01,0.01,2.51,,0.02,,,16.46,0.0,0.0,,0.0,0.0,15.32,100.0,0.0
ES0 2,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.01,0.0,,,,120.16,90.33,73.06,68.68,,,,,36.42,35.51,70.88,,,,,65.45,46.39,,,52.23,,46.39,55.43,,54.81,49.13,,-12.84,0.0,-18.86,-6.51,-38.22,14.37,13.38,0.0,0.69,14.37,0.21,0.0,4.58,0.18,5.57,3.66,3.46,0.0,44.52,3.74,1.38,0.0,2.9,0.0,30.53,32.66,0.0,2.22,,0.01,,,58.04,0.0,0.0,,0.0,0.0,0.0,100.0,0.0
ES0 3,0.0,3.04,0.0,0.0,0.0,0.0,0.84,0.0,0.06,,,,124.02,94.18,77.91,73.97,,,,,39.47,38.25,75.71,,,,,70.28,59.46,,,42.38,38.03,59.46,60.75,,54.66,38.03,,1.44,0.0,-52.35,-1.07,-51.98,8.11,5.41,0.0,0.39,8.11,0.19,13.36,3.01,0.17,1.2,1.19,0.81,0.0,17.37,0.73,0.9,42.95,1.63,0.19,14.34,18.43,38.88,1.5,,0.01,,,21.2,0.0,0.0,,0.0,0.0,45.71,100.0,0.0
ES0 4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,129.01,99.18,78.59,74.78,,,,,42.59,41.57,76.65,,,,,71.21,,,,44.49,39.84,66.93,66.71,,56.14,39.84,,6.81,0.0,18.02,0.41,25.24,8.54,3.93,0.0,0.41,8.54,0.24,0.0,4.07,0.17,1.31,0.36,0.0,0.0,0.0,0.23,0.68,18.35,1.72,0.11,11.58,19.42,0.01,1.28,,0.0,,,0.0,0.0,0.0,,0.0,0.0,19.29,100.0,0.0
ES0 5,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,,,,117.47,87.64,76.37,73.2,,,,,34.89,34.31,74.89,,,,,69.46,,,,39.5,35.19,67.81,73.96,,54.47,39.59,,-8.99,0.0,-8.12,-0.92,-18.03,13.06,27.6,0.0,0.62,13.06,0.38,7.63,2.76,0.06,6.97,0.0,0.78,0.0,0.0,4.64,1.54,67.57,2.63,0.0,310.36,29.68,22.19,1.96,,0.01,,,0.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
ES0 6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,124.78,94.95,77.22,73.27,,,,,37.7,36.62,75.02,,,,,69.59,,,,41.68,,73.84,,,53.11,43.07,,4.97,0.0,8.95,-1.23,12.7,6.81,2.18,0.0,0.32,6.81,0.02,0.01,1.62,0.28,0.41,2.46,0.08,0.0,0.0,0.06,0.64,0.0,1.37,0.03,6.07,15.47,0.04,0.17,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,100.0,0.0
ES0 7,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.2,0.0,,,125.31,95.48,78.58,74.63,,,,,40.82,39.54,76.37,,,,,70.94,,,,43.21,38.67,62.58,71.63,,54.35,38.96,66.12,-0.36,0.0,47.7,-3.1,44.24,32.49,15.89,0.0,1.55,32.49,1.52,0.05,7.99,0.16,7.2,0.89,2.06,0.0,0.0,1.67,3.28,38.93,6.55,4.87,43.21,73.84,0.14,13.67,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
ES0 8,0.0,1.63,0.0,0.0,0.0,0.0,0.6,0.0,0.0,,0.0,,117.22,87.39,76.33,72.66,,,,,36.14,35.52,74.39,,,,,68.95,64.83,,,41.27,36.73,64.83,65.76,69.79,54.13,39.04,,-42.51,0.0,6.17,-2.38,-38.73,20.28,45.54,0.0,0.97,20.28,0.4,0.02,6.53,0.14,10.52,2.04,1.18,0.0,24.6,8.0,2.02,87.09,4.09,0.0,680.0,46.09,0.07,2.28,,0.0,0.04,,36.14,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
ES0 9,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,122.58,92.75,80.59,75.89,,,,,42.85,41.86,77.94,,,,,72.51,69.73,,,51.41,,69.72,71.55,,59.01,47.83,,3.23,0.0,53.61,2.1,58.94,13.91,6.26,0.0,0.66,13.91,0.63,0.0,5.35,0.09,2.38,0.5,0.0,0.0,1.18,0.6,1.21,0.0,2.8,0.0,178.51,31.62,0.01,2.89,,0.0,,,2.3,0.0,0.0,,0.0,0.0,0.0,100.0,0.0
ES2 0,0.0,0.17,0.0,0.0,0.0,0.0,0.21,0.0,0.01,,0.0,,126.56,96.72,79.62,75.62,,,,,35.72,34.87,77.4,,,,,71.97,59.39,,,,40.81,59.39,62.56,70.08,53.18,40.81,,0.43,0.0,0.88,0.01,1.32,2.92,1.15,0.0,0.14,2.92,0.16,0.75,0.92,0.01,1.22,0.0,0.17,0.0,1.41,0.12,0.69,4.65,0.59,0.29,3.41,6.63,2.18,1.76,,0.0,0.03,,23.62,0.0,0.0,,0.0,0.0,47.3,100.0,0.0
FI3 0,0.0,0.28,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.8,,141.82,111.99,103.75,93.99,,,,,59.08,58.68,97.25,,,,,91.81,59.18,,61.03,,,59.18,69.64,61.03,77.43,65.3,93.98,0.53,0.0,-6.25,5.12,-0.61,8.66,1.31,0.0,0.12,8.66,1.06,0.01,5.44,0.09,5.17,0.27,0.49,11.01,1.81,0.0,2.67,0.85,0.0,0.0,3.58,19.69,0.02,17.3,,0.0,38.9,,1.36,0.0,0.0,0.0,0.0,0.0,1.6,0.07,0.0
FI3 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.21,,140.61,110.78,98.74,89.27,,,,,59.11,58.54,92.53,,,,,87.09,,,60.27,,,69.99,65.65,60.48,76.78,69.54,88.52,2.71,0.0,7.43,1.26,11.39,4.14,0.93,0.0,0.06,4.14,0.21,0.0,3.13,0.3,2.17,1.25,0.17,3.54,0.0,0.12,1.5,0.0,0.0,0.0,3.51,9.42,0.01,8.72,,0.0,99.99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
FI3 2,0.0,0.29,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,,142.6,112.77,106.62,97.07,,,,,60.78,60.21,100.29,,,,,94.86,61.03,,,,65.47,61.03,71.81,69.68,77.9,65.46,96.22,4.76,0.0,18.49,4.52,27.78,5.16,0.63,0.0,0.07,5.16,0.39,0.6,4.57,0.24,2.56,0.41,0.22,0.04,6.42,0.0,1.87,1.69,0.0,0.0,1.74,11.72,2.61,7.0,,0.01,100.0,,4.4,0.0,0.0,0.0,0.0,0.0,10.11,0.1,0.0
FI3 3,0.0,1.12,0.0,0.0,0.0,0.0,,,0.0,0.01,,,129.78,99.95,87.73,79.45,,,,,52.94,52.23,82.42,,,,,76.99,57.28,,,,,57.28,70.09,,,,80.04,1.08,0.0,-11.14,-2.17,-12.23,1.42,2.59,0.0,0.02,1.42,0.0,0.0,1.0,0.17,0.45,0.83,1.59,0.0,10.89,0.1,0.45,0.0,0.0,0.0,1.78,3.22,0.0,0.63,,0.0,,,4.61,0.0,0.0,0.0,0.0,0.0,,,0.0
FI3 4,0.24,0.23,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.06,,141.72,111.88,104.85,95.09,,,,,53.74,53.55,98.32,,,,,92.88,54.58,61.0,,70.62,62.19,54.58,61.0,66.91,70.75,63.18,97.08,6.0,0.0,-2.17,6.0,9.83,8.47,1.46,0.0,0.11,8.47,1.0,0.01,4.67,0.08,4.97,0.02,0.67,1.77,5.77,0.0,2.86,20.49,1.56,0.0,3.32,19.26,0.04,13.84,,24.42,100.0,,14.58,0.0,0.0,0.0,0.0,0.0,100.0,99.98,0.0
FR0 0,0.0,1.64,0.0,0.0,0.0,0.0,0.1,0.01,0.0,,,,123.66,93.83,84.49,79.95,,,,,43.56,42.51,81.67,,,,,76.24,58.77,,,47.97,42.51,58.77,69.2,,52.8,42.51,,0.37,0.0,-4.91,-5.54,-10.09,6.85,6.41,0.0,0.07,6.85,0.52,0.89,2.79,0.14,2.19,0.69,2.88,0.0,11.07,0.88,1.6,13.93,1.45,0.0,12.28,15.58,2.59,4.44,,0.02,,,58.46,0.0,0.0,,0.0,0.0,70.35,100.0,0.0
FR0 1,,1.95,0.0,0.0,0.0,0.0,0.07,0.01,0.0,,,,142.63,112.8,106.84,98.77,,,,,52.48,51.74,100.84,,,,,95.4,50.91,,,62.59,55.48,60.12,,,63.38,55.48,,7.52,0.0,20.28,40.16,67.96,65.39,6.28,0.0,0.7,65.39,5.81,0.01,23.69,0.3,24.23,0.0,2.02,0.0,40.39,0.0,10.59,50.44,13.81,0.0,16.8,148.62,0.02,62.5,,,,,100.0,0.0,0.0,,0.0,0.0,44.37,100.0,0.0
FR0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.01,0.59,0.02,,,126.99,97.15,86.53,80.95,,,,,46.17,44.96,82.66,,,,,77.23,,,,46.69,42.01,70.81,86.99,,52.68,42.01,70.42,19.66,0.0,1.67,-1.46,19.87,9.7,6.14,0.0,0.1,9.7,0.62,8.03,3.8,0.21,3.71,1.64,1.43,0.0,0.0,1.11,1.77,27.28,2.05,2.47,15.93,22.05,23.37,6.91,,0.02,,,0.0,0.0,0.0,0.0,0.0,0.0,99.49,100.0,0.0
FR0 11,,0.6,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,,,145.74,115.91,108.46,100.51,,,,,53.72,52.81,102.63,,,,,97.19,64.79,,,,56.35,64.78,,,63.52,56.35,,5.13,0.0,2.72,0.31,8.17,7.77,0.72,0.0,0.08,7.77,0.11,0.0,3.73,0.59,0.95,0.0,0.21,0.0,8.04,0.0,1.27,8.7,0.99,0.0,1.92,17.67,0.01,1.57,,,,,13.74,0.0,0.0,,0.0,0.0,8.99,60.24,0.0
FR0 12,0.06,0.0,0.0,0.0,0.0,0.0,0.45,0.01,0.01,0.0,0.01,,143.69,113.86,100.27,93.35,,,,,47.77,46.62,95.08,,,,,89.65,,82.16,,54.51,49.27,81.35,82.15,82.25,60.92,49.27,83.34,3.51,0.0,3.73,4.17,11.41,11.1,0.96,0.0,0.12,11.1,0.69,4.36,4.28,0.43,3.5,0.02,0.02,1.81,0.01,0.0,2.41,19.46,2.34,0.52,2.86,25.23,12.67,6.92,,43.19,100.0,,0.01,0.0,0.0,0.0,0.0,0.0,25.57,100.0,0.0
FR0 13,,1.1,0.0,0.0,0.0,0.0,0.45,0.01,0.12,0.02,,,142.08,112.25,103.45,96.26,,,,,54.18,52.86,98.05,,,,,92.61,83.03,,,54.16,48.47,83.03,,,60.43,50.14,83.57,1.89,0.0,-35.08,1.85,-31.34,6.7,1.3,0.0,0.07,6.7,0.48,3.12,2.81,0.09,2.88,4.09,0.35,0.0,13.86,0.0,0.96,30.09,1.41,2.72,3.22,15.23,9.07,5.52,,,,,60.64,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
FR0 14,0.03,1.8,0.0,0.0,0.0,0.0,0.24,0.01,0.7,0.02,,,134.08,104.24,89.13,83.87,,,,,43.56,42.48,85.61,,,,,80.17,52.08,,,44.83,39.86,69.14,73.02,,54.75,43.72,72.14,2.77,0.0,-11.18,-1.56,-9.97,11.74,8.23,0.0,0.13,11.74,1.15,3.55,5.93,0.08,5.44,1.54,2.08,0.23,15.23,0.54,2.53,26.9,2.48,4.23,24.16,26.67,10.32,9.87,,99.99,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
FR0 15,,3.73,0.0,0.0,0.0,0.0,0.04,0.01,0.0,,,,139.64,109.8,105.28,97.39,,,,,52.88,52.02,99.6,,,,,94.17,57.08,,,,58.05,57.08,,,66.36,58.05,,3.24,0.0,-14.83,-3.14,-14.73,5.17,4.68,0.0,0.06,5.17,0.23,0.0,2.46,0.2,1.67,0.95,2.81,0.0,18.85,0.13,0.99,7.47,0.37,0.0,4.06,11.75,0.01,4.81,,,,,68.77,0.0,0.0,,0.0,0.0,13.95,34.1,0.0
FR0 16,,0.14,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,,,149.02,119.19,110.51,102.04,,,,,54.7,53.55,103.96,,,,,98.53,84.84,,,59.42,,84.84,,,62.65,56.58,89.99,2.57,0.0,26.72,5.64,34.93,15.76,1.63,0.0,0.17,15.76,1.09,0.01,5.74,0.24,4.48,0.31,0.05,0.0,9.26,0.0,1.92,0.0,3.33,0.0,4.9,35.83,0.02,9.05,,,,,28.22,0.0,0.0,0.0,0.0,0.0,0.01,100.0,0.0
FR0 17,,0.0,0.0,0.0,0.0,0.0,0.26,0.01,0.0,,,,145.38,115.55,108.77,101.09,,,,,53.17,52.14,102.89,,,,,97.45,,,,61.09,54.99,74.81,,,61.4,54.99,,3.08,0.0,10.82,-0.45,13.45,8.1,0.71,0.0,0.09,8.1,0.31,2.2,3.56,0.41,1.81,0.06,0.16,0.0,0.0,0.0,1.36,13.42,1.71,0.0,2.11,18.42,6.4,4.97,,,,,0.0,0.0,0.0,,0.0,0.0,13.26,99.98,0.0
FR0 18,0.0,5.13,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,0.4,,126.78,96.95,88.91,82.08,,,,,43.64,42.66,84.61,,,,,79.18,44.03,,,,54.47,44.03,55.28,60.18,65.09,54.47,,-13.48,0.0,-13.04,-18.14,-44.65,9.03,18.29,0.0,0.1,9.03,0.37,0.0,4.0,0.2,5.1,0.24,8.61,0.75,35.2,3.29,1.98,12.73,0.0,0.0,15.07,20.52,0.01,10.45,,0.0,99.99,,83.23,0.0,0.0,,0.0,0.0,13.62,0.05,0.0
FR0 19,0.48,1.34,0.0,0.0,0.0,0.0,0.0,0.01,0.0,,0.18,,139.76,109.93,104.26,96.31,,,,,52.04,51.13,98.59,,,,,93.16,39.82,62.7,,,,57.13,65.66,72.28,65.96,61.06,,2.85,0.0,-17.23,-4.54,-18.91,10.5,2.3,0.0,0.11,10.5,0.85,0.0,4.41,0.06,3.81,0.0,1.07,2.73,14.99,0.04,1.86,0.01,0.6,0.0,4.89,23.86,0.01,10.63,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,0.03,27.19,0.0
FR0 2,,0.0,0.0,0.01,0.0,0.0,1.72,0.02,0.36,0.03,,,147.75,117.91,116.58,107.15,,,,,63.47,61.84,108.97,,,,,103.54,,,,,56.07,115.01,,,64.33,56.07,94.3,4.46,0.0,-8.69,-7.49,-11.72,4.17,0.83,0.0,0.04,4.17,0.07,4.93,1.79,0.12,2.25,2.96,0.14,0.0,0.0,0.0,0.44,16.96,0.88,3.67,2.12,9.48,14.33,5.76,,,,,0.0,0.0,0.0,0.0,0.0,0.0,98.79,100.0,0.0
