,demand,demand,demand,demand,demand,demand,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,cop,cop,salt_caverns,salt_caverns,salt_caverns,biomass_potentials,biomass_potentials
,electricity,H2,heat,oil,biomass,process emission,hydroelectricity,offshore wind,onshore wind,solar PV,solar rooftop,solar thermal,air heat pump,ground heat pump,nearshore caverns,offshore caverns,onshore caverns,biogas,solid biomass
DE0 6,18.93,2.03,11.96,21.0,9.0,0.71,75.7,,10.2,9.79,9.79,4.13,2.61,3.42,,,,0.21,4.95
DE0 7,104.75,23.93,59.95,10.35,6.78,0.28,75.7,,24.15,9.14,9.14,3.37,2.65,3.49,,,52.71,1.21,5.74
DE0 8,23.83,3.54,11.54,1.63,1.66,0.95,75.7,,19.71,9.09,9.09,3.5,2.64,3.45,,,123.73,2.11,3.49
DE0 9,37.26,4.57,34.14,1.87,1.73,0.01,75.7,,11.68,9.63,9.63,4.1,2.59,3.4,,,,1.41,7.73
DK0 0,32.09,7.68,33.05,8.96,5.25,1.43,,47.25,40.29,9.34,9.34,3.88,2.57,3.39,205.43,2057.91,,8.88,12.37
DK3 0,17.54,4.1,17.64,4.78,1.91,0.04,,42.49,42.66,9.83,9.83,4.07,2.59,3.44,2.88,164.78,,2.03,4.0
EE6 0,9.82,2.62,10.57,0.81,2.31,0.25,,38.15,29.19,9.32,9.32,3.8,2.49,3.31,,,,2.24,12.05
ES0 0,23.05,9.92,14.5,1.95,0.68,0.05,,28.23,16.08,15.57,15.57,8.95,3.2,4.27,,,,1.87,4.78
ES0 1,50.25,21.79,33.19,14.79,6.29,1.07,,,15.62,14.97,14.97,7.95,2.92,3.85,,,46.52,5.29,10.48
ES0 10,6.58,1.59,2.19,1.81,0.65,0.02,,,16.65,14.73,14.73,7.24,2.79,3.7,,,,1.69,3.92
ES0 11,26.67,10.78,16.35,5.79,2.9,1.88,,17.43,9.84,15.65,15.65,8.75,3.06,4.05,,,0.9,2.24,6.13
ES0 12,17.98,3.99,5.9,3.26,7.73,0.76,,15.86,20.09,13.73,13.73,6.71,2.81,3.71,,,22.5,3.48,6.86
ES0 2,29.97,8.13,11.75,7.62,3.47,2.05,,38.09,28.4,12.08,12.08,5.91,2.81,3.74,,,,2.11,6.01
ES0 3,20.1,4.46,6.79,5.23,2.38,0.47,,18.01,23.05,14.89,14.89,8.05,2.89,3.81,,,246.49,1.09,3.67
ES0 4,28.07,6.91,6.92,7.94,6.27,1.67,,10.42,18.05,14.16,14.16,6.53,2.76,3.65,,,12.32,2.16,7.49
ES0 5,15.65,7.07,10.77,17.9,7.62,1.32,,14.19,15.71,15.95,15.95,9.03,3.1,4.12,105.8,,22.73,2.79,5.92
