,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
CZ0 1 - PL0 5,CZ0 1,PL0 5,176.0,3.3470000000000004,0.20600000000000002,0.002,0.20400000000000001
CZ0 1 - SK0 0,CZ0 1,SK0 0,178.0,0.0,0.361,0.361,0.0
CZ0 2 - DE0 1,CZ0 2,DE0 1,271.0,23.832,0.008,0.0,0.008
CZ0 2 - DE0 18,CZ0 2,DE0 18,243.0,2.194,2.19,0.0,2.19
CZ0 2 - DE0 20,CZ0 2,DE0 20,197.33333333333334,9.676,5.083,0.001,5.082
CZ0 2 - DE0 25,CZ0 2,DE0 25,170.0,40.916,2.5380000000000003,0.001,2.5370000000000004
DE0 0 - DE0 10,DE0 0,DE0 10,126.66666666666667,26.532,1.964,0.001,1.963
DE0 0 - DE0 11,DE0 0,DE0 11,247.0,33.123999999999995,12.411999999999999,0.0,12.411999999999999
DE0 0 - DE0 21,DE0 0,DE0 21,126.0,0.0,0.001,0.001,0.0
DE0 0 - DE0 26,DE0 0,DE0 26,159.66666666666666,15.047,11.075999999999999,0.001,11.075
DE0 0 - DE0 7,DE0 0,DE0 7,204.0,0.0,0.001,0.001,0.0
DE0 0 - NL0 1,DE0 0,NL0 1,78.0,6.687,0.301,0.002,0.299
DE0 0 - NL0 3,DE0 0,NL0 3,104.0,26.636,0.602,0.0,0.602
DE0 1 - DE0 16,DE0 1,DE0 16,206.0,18.477,0.634,0.0,0.634
DE0 1 - DE0 19,DE0 1,DE0 19,131.0,0.0,0.008,0.008,0.0
DE0 1 - DE0 25,DE0 1,DE0 25,103.5,36.084,7.669,0.002,7.667
DE0 1 - DE0 27,DE0 1,DE0 27,112.0,59.916,9.309000000000001,0.002,9.307
DE0 1 - DE0 9,DE0 1,DE0 9,197.0,0.0,0.002,0.002,0.0
DE0 10 - DE0 11,DE0 10,DE0 11,359.0,17.012,3.217,0.0,3.217
DE0 10 - DE0 21,DE0 10,DE0 21,132.33333333333334,35.737,2.192,0.002,2.19
DE0 10 - DE0 24,DE0 10,DE0 24,116.0,3.323,0.067,0.002,0.065
DE0 10 - DE0 26,DE0 10,DE0 26,76.66666666666667,28.044,1.983,0.002,1.9809999999999999
DE0 10 - DE0 27,DE0 10,DE0 27,282.0,8.142,3.208,0.0,3.208
DE0 10 - DE0 5,DE0 10,DE0 5,203.0,0.0,0.002,0.002,0.0
DE0 10 - DE0 7,DE0 10,DE0 7,155.0,9.109,0.141,0.0,0.141
DE0 11 - DE0 15,DE0 11,DE0 15,168.5,1.011,0.995,0.004,0.991
DE0 11 - DE0 21,DE0 11,DE0 21,243.66666666666666,68.375,4.748,4.159,0.5890000000000001
DE0 11 - GB5 9,DE0 11,GB5 9,718.0,0.0,0.0,0.0,0.0
DE0 11 - NL0 3,DE0 11,NL0 3,152.0,79.007,1.512,0.0,1.512
DE0 11 - NO3 4,DE0 11,NO3 4,1043.0,24.56,4.503,0.0,4.503
