snapshot,Fischer-Tropsch,H2 Fuel Cell,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-02 18:00:00,44.14,23.81,-21.63,-5.94,2.7,104.43,-108.46,1.33,0.0,-0.01,0.01,101.09,18.53,-131.62,11.99,0.0,-0.0,0.0,0.03,54.75,-33.17,0.03,-0.01,0.01,38.31,2.97,-42.61,1.33,0.0,-0.01,0.0,103.79,9.55,17.39,-300.55,35.06,0.0,1.9,66.41,-2.11,6.52
2013-01-02 21:00:00,44.14,16.79,-21.63,-5.94,0.0,71.47,-71.46,0.0,0.0,-0.01,0.01,83.92,3.23,-87.84,0.69,0.0,-0.01,0.0,0.0,49.26,-27.63,0.0,-0.01,0.01,33.8,1.31,-35.43,0.32,0.0,-0.01,0.0,96.81,1.95,0.75,-212.63,17.87,0.0,1.9,63.33,-25.11,0.12
2013-01-03 00:00:00,44.14,15.28,-21.63,-5.94,0.0,57.8,-57.79,0.0,0.0,-0.01,0.01,66.0,1.56,-67.68,0.12,0.0,-0.01,0.0,0.02,50.45,-28.86,0.02,-0.01,0.01,31.81,2.55,-35.24,0.88,0.0,-0.01,0.0,93.2,2.09,0.58,-177.53,13.12,0.0,1.9,61.59,-49.24,0.8
2013-01-03 03:00:00,44.14,19.8,-21.63,-5.94,2.37,93.94,-97.17,0.87,0.0,-0.01,0.01,86.92,17.03,-111.96,8.01,0.0,-0.01,0.0,1.69,59.71,-41.24,1.47,-0.01,0.01,36.62,7.67,-50.08,5.8,0.0,-0.01,0.0,99.96,10.25,14.04,-279.52,32.05,0.0,1.9,63.57,-13.34,13.08
2013-01-03 06:00:00,44.14,17.46,-21.63,-5.94,2.32,98.25,-101.85,1.29,0.0,-0.01,0.01,90.99,17.81,-118.4,9.6,0.0,-0.01,0.0,1.42,59.65,-40.7,1.25,-0.01,0.01,37.18,7.14,-49.66,5.35,0.0,-0.01,0.0,100.64,1.99,24.07,-289.89,34.67,0.0,1.9,63.4,-7.86,15.43
2013-01-03 09:00:00,44.14,11.59,-21.63,-5.94,0.45,91.19,-92.18,0.72,0.0,-0.61,0.43,90.86,8.6,-107.25,7.93,0.02,-0.49,0.34,0.17,55.86,-34.77,0.55,-0.59,0.42,36.29,2.93,-42.51,3.42,0.01,-0.49,0.34,104.36,1.89,8.18,-258.34,36.18,13.98,1.19,60.96,-19.81,1.6
2013-01-03 12:00:00,44.14,7.87,-21.63,-5.94,0.42,89.07,-89.85,0.54,0.0,-0.61,0.43,91.65,6.95,-104.41,5.93,0.03,-0.51,0.36,0.04,53.96,-32.5,0.31,-0.6,0.42,35.9,1.94,-39.73,2.03,0.01,-0.51,0.36,101.53,1.89,5.87,-248.65,34.53,26.52,0.69,61.73,-31.93,1.73
2013-01-03 15:00:00,40.13,19.78,-21.63,-5.94,1.65,94.88,-97.56,1.21,0.0,-0.6,0.43,94.22,11.39,-113.07,7.59,0.01,-0.49,0.35,0.04,53.92,-32.46,0.31,-0.59,0.42,35.73,2.3,-39.67,1.79,0.0,-0.51,0.36,79.53,12.6,14.96,-263.48,29.68,7.51,1.9,62.38,-8.79,9.71
2013-01-03 18:00:00,40.54,19.84,-21.63,-5.94,0.99,95.75,-98.0,1.43,0.0,-0.6,0.42,93.69,11.99,-114.05,8.51,0.0,-0.49,0.34,0.0,51.5,-29.92,0.22,-0.59,0.42,34.01,1.63,-36.69,1.2,0.0,-0.53,0.37,76.53,17.3,16.39,-260.03,27.14,0.0,1.9,62.05,-6.02,10.29
2013-01-03 21:00:00,40.06,16.8,-21.63,-5.94,0.0,64.99,-64.98,0.17,0.0,-0.62,0.43,75.28,1.02,-76.74,0.61,0.0,-0.56,0.39,0.0,46.67,-25.03,0.17,-0.6,0.42,29.96,0.54,-30.74,0.4,0.0,-0.56,0.39,63.77,11.65,3.73,-185.4,17.83,0.0,1.73,58.6,-25.84,2.99
