,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
BE0 4,,0.04,0.0,0.0,0.0,0.0,0.16,0.01,0.0,,,,116.47,86.64,92.48,82.71,,,,,47.49,46.66,85.32,,,,,79.89,,,,67.02,60.09,55.61,,,67.02,60.4,,5.71,29.65,22.28,6.07,63.71,10.29,0.0,0.0,1.5,4.65,10.29,0.96,0.0,4.99,0.04,3.0,0.0,0.0,0.0,0.5,1.45,2.2,11.69,1.54,0.0,0.0,23.39,0.0,3.85,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,68.73,0.0
BG0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,,116.48,86.65,88.13,84.06,,,,,45.96,44.92,86.24,,,,,80.81,,,,50.24,44.8,85.77,94.57,93.87,51.31,44.8,80.69,1.98,3.93,6.91,1.43,14.26,11.4,0.06,0.0,0.03,1.08,11.4,0.32,0.0,3.15,0.2,1.39,0.34,0.0,0.0,0.01,0.14,1.6,9.73,3.07,0.0,0.0,25.91,0.0,2.54,,0.0,0.16,,0.01,0.0,0.0,0.0,0.0,0.0,7.23,100.0,0.0
BG0 1,,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,,,,116.14,86.3,88.1,83.95,,,,,47.23,46.2,86.1,,,,,80.67,,,,50.57,45.16,80.73,,,52.65,45.16,,-1.38,10.27,14.83,1.26,24.99,15.94,0.0,0.0,0.05,1.68,15.94,0.35,0.0,3.53,0.25,4.64,2.56,0.0,0.0,0.0,0.96,1.74,2.51,4.29,0.02,0.0,36.22,0.0,1.63,,,,,0.0,0.0,0.0,,0.0,0.0,2.53,100.0,0.0
CH0 0,,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.06,0.01,,,116.87,87.04,92.78,85.17,,,,,52.29,51.42,87.52,,,,,82.08,,,,58.4,53.08,69.67,,,63.8,53.08,64.17,-0.33,18.06,-31.78,4.42,-9.63,13.53,0.0,0.0,0.01,0.7,13.53,0.39,0.0,4.05,0.29,6.92,8.92,0.0,0.0,0.0,1.98,1.54,41.9,2.75,0.57,0.0,30.74,0.0,1.86,,,,,0.0,0.0,0.0,0.0,0.0,0.0,89.46,100.0,0.0
CH0 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.02,,,117.06,87.23,93.83,85.61,,,,,53.54,52.8,88.03,,,,,82.6,,,,61.45,,73.14,,,64.46,57.65,65.62,-9.49,33.37,17.36,4.22,45.45,25.15,0.0,0.0,0.03,22.04,25.15,0.64,0.0,6.4,0.45,15.22,10.1,0.0,0.0,0.0,3.7,2.87,0.0,5.11,2.13,0.0,57.15,0.0,3.7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
CZ0 0,,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,117.6,87.77,97.63,88.23,,,,,52.0,50.85,90.74,,,,,85.31,68.9,,,,,68.9,,,67.38,60.74,,-3.57,10.55,1.36,-0.52,7.82,13.33,0.0,0.0,0.0,4.48,13.33,0.58,0.0,4.51,0.4,12.1,0.51,0.0,0.0,15.73,1.03,2.34,0.03,0.0,0.0,0.0,30.29,0.0,2.86,,,,,41.8,0.0,0.0,,0.0,0.0,0.04,0.04,0.0
CZ0 1,,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,117.81,87.97,97.32,88.16,,,,,51.95,50.83,90.67,,,,,85.24,68.67,,,,,71.41,,,67.89,60.92,,4.01,7.4,7.16,-0.72,17.85,9.04,0.0,0.0,0.0,0.42,9.04,0.5,0.0,3.93,0.14,10.15,0.65,0.0,0.0,10.85,0.24,1.64,0.01,0.0,0.0,0.0,20.54,0.0,2.62,,,,,100.0,0.0,0.0,,0.0,0.0,0.02,0.06,0.0
CZ0 2,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,117.37,87.54,98.45,89.0,,,,,52.35,51.33,91.57,,,,,86.13,,,,,60.04,70.54,,,68.14,60.04,80.34,-4.84,15.18,29.84,5.54,45.72,20.47,0.0,0.0,0.0,9.14,20.47,0.68,0.0,7.66,0.93,8.52,0.76,0.0,0.0,0.0,1.47,4.08,17.27,0.0,0.0,0.0,46.53,0.0,4.35,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.46,0.02,0.0
DE0 0,,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,116.57,86.74,93.1,83.71,,,,,48.43,47.57,86.33,,,,,80.9,47.69,,,,,57.03,,,67.98,61.38,,46.78,2.61,-13.19,19.14,55.34,4.12,0.0,0.0,0.03,14.54,4.12,0.14,0.0,1.16,0.2,0.69,0.0,0.0,0.0,8.56,0.22,0.73,0.0,0.0,0.0,176.22,9.36,0.0,0.47,,,,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
DE0 1,,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,,,117.22,87.38,97.53,87.59,,,,,51.08,50.02,90.2,,,,,84.77,,,,69.45,62.33,68.21,,,69.44,62.33,89.38,11.15,8.79,15.45,8.18,43.57,10.99,0.0,0.0,0.09,9.31,10.99,0.39,0.0,3.15,0.32,4.7,0.19,0.0,0.0,0.0,0.81,1.22,4.89,1.13,0.0,0.0,24.97,0.0,1.45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.83,51.32,0.0
