,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
136,ES0 3,ES0 8,294,3.396,13.396,AC,8.198
137,ES0 3,FR0 23,291,0.569,10.569,AC,3.384
138,ES0 4,ES0 9,223,14.173,24.173,AC,19.971
139,ES0 5,ES0 8,198,7.94,17.94,AC,7.94
140,ES0 6,PT0 0,288,1.698,11.698,AC,2.438
141,ES0 6,PT0 2,308,3.396,13.396,AC,3.396
142,ES0 7,FR0 26,281,1.698,11.698,AC,9.465
143,FI3 0,FI3 1,444,5.094,15.094,AC,12.251
144,FI3 0,FI3 2,298,1.698,11.698,AC,1.698
145,FI3 0,FI3 4,224,8.491,18.491,AC,8.491
146,FI3 1,FI3 2,422,1.698,11.698,AC,4.979
147,FI3 1,FI3 3,327,5.094,15.094,AC,14.327
148,FI3 1,SE3 7,350,1.698,11.698,AC,6.581
149,FI3 2,FI3 4,209,5.094,15.094,AC,5.094
150,FI3 3,SE3 7,306,1.698,11.698,AC,4.841
151,FR0 0,FR0 14,114,6.811,16.811,AC,16.811
152,FR0 0,FR0 24,157,1.138,11.138,AC,3.972
153,FR0 0,FR0 26,151,4.535,14.535,AC,14.535
154,FR0 1,FR0 11,191,11.327,21.327,AC,21.327
155,FR0 1,FR0 17,304,7.362,17.362,AC,14.31
156,FR0 1,FR0 19,263,6.802,16.802,AC,14.065
157,FR0 1,FR0 22,186,11.327,21.327,AC,21.327
158,FR0 1,FR0 5,410,1.698,11.698,AC,3.63
159,FR0 1,FR0 7,228,3.965,13.965,AC,11.32
160,FR0 1,FR0 8,218,4.535,14.535,AC,10.625
161,FR0 10,FR0 13,200,1.138,11.138,AC,2.923
162,FR0 10,FR0 14,120,9.638,19.638,AC,9.638
163,FR0 10,IT0 12,230,0.569,10.569,AC,2.639
164,FR0 11,FR0 15,201,4.535,14.535,AC,11.196
165,FR0 11,FR0 16,300,5.094,15.094,AC,10.982
166,FR0 11,FR0 17,251,0.569,10.569,AC,1.075
167,FR0 11,FR0 21,273,0.569,10.569,AC,1.225
168,FR0 11,FR0 25,273,6.233,16.233,AC,14.231
169,FR0 11,FR0 4,215,5.663,15.663,AC,10.763
170,FR0 12,FR0 20,193,6.802,16.802,AC,16.802
171,FR0 12,FR0 23,187,3.396,13.396,AC,9.84
172,FR0 12,FR0 6,235,4.535,14.535,AC,7.231
173,FR0 13,FR0 14,207,7.931,17.931,AC,17.931
174,FR0 13,FR0 16,137,15.862,25.862,AC,25.861
175,FR0 13,FR0 2,115,3.396,13.396,AC,10.174
